try_id,sigma,g_n,i,delta,kappa_min,kappa_max,kappa_star,r_star,d_star,omega_star,backbone_ok,reason
35,2.25,0.05,0.035,0.06,0.02,0.35,0.2475,0.12657624799375142,-0.7459311597188134,0.7413110326042178,FALSE,d_star_negative|omega_outside_target_band
36,2.25,0.05,0.035,0.06,0.02,0.45,0.2475,0.10388034506148039,0.2753844722333826,0.7566307670835007,FALSE,omega_outside_target_band
37,2.25,0.05,0.04,0.03,0.02,0.25,0.18,0.12755595243948226,-2.1400178597767017,0.798599821402233,FALSE,d_star_negative|omega_outside_target_band
38,2.25,0.05,0.04,0.03,0.02,0.35,0.18,0.09797917927278552,-0.8090630672753485,0.8119093693272466,FALSE,d_star_negative|omega_outside_target_band
39,2.25,0.05,0.04,0.03,0.02,0.45,0.18,0.08255839520784841,-0.11512778435317839,0.8188487221564683,FALSE,d_star_negative|omega_outside_target_band
40,2.25,0.05,0.04,0.04,0.02,0.25,0.20249999999999999,0.1448673487327317,-2.4690306929729258,0.7728096930702706,FALSE,d_star_negative|omega_outside_target_band
41,2.25,0.05,0.04,0.04,0.02,0.35,0.20249999999999999,0.10709739990808907,-0.7693829958640086,0.78980617004136,FALSE,d_star_negative|omega_outside_target_band
42,2.25,0.05,0.04,0.04,0.02,0.45,0.20249999999999999,0.08984465303379338,0.006990613479297414,0.7975699061347931,FALSE,omega_outside_target_band
43,2.25,0.05,0.04,0.05,0.02,0.25,0.225,0.17013780514234028,-3.1562012314053125,0.7434379876859469,FALSE,d_star_negative|omega_outside_target_band
44,2.25,0.05,0.04,0.05,0.02,0.35,0.225,0.11648987472787026,-0.7420443627541612,0.7675795563724584,FALSE,d_star_negative|omega_outside_target_band
45,2.25,0.05,0.04,0.05,0.02,0.45,0.225,0.09689698589779962,0.1396356345990174,0.7763963563459901,FALSE,omega_outside_target_band
46,2.25,0.05,0.04,0.06,0.02,0.25,0.2475,0.2503619835505615,-6.316289259775268,0.6893371074022472,FALSE,d_star_negative
47,2.25,0.05,0.04,0.06,0.02,0.35,0.2475,0.12657624799375142,-0.7459311597188134,0.745040688402812,FALSE,d_star_negative|omega_outside_target_band
48,2.25,0.05,0.04,0.06,0.02,0.45,0.2475,0.10388034506148039,0.2753844722333826,0.7552538447223338,FALSE,omega_outside_target_band
49,2.25,0.060000000000000005,0.025,0.03,0.02,0.25,0.20249999999999999,0.1448673487327317,-2.0575255774774384,0.7254866047882895,FALSE,d_star_negative|omega_outside_target_band
50,2.25,0.060000000000000005,0.025,0.03,0.02,0.35,0.20249999999999999,0.10709739990808907,-0.6411524965533405,0.7750596626206331,FALSE,d_star_negative|omega_outside_target_band
51,2.25,0.060000000000000005,0.025,0.03,0.02,0.45,0.20249999999999999,0.08984465303379338,0.005825511232747845,0.7977038928931462,FALSE,omega_outside_target_band
52,2.25,0.060000000000000005,0.025,0.04,0.02,0.25,0.225,0.17013780514234028,-2.6301676928377606,0.6829441307506783,FALSE,d_star_negative
53,2.25,0.060000000000000005,0.025,0.04,0.02,0.35,0.225,0.11648987472787026,-0.6183703022951342,0.7533570394196704,FALSE,d_star_negative|omega_outside_target_band
54,2.25,0.060000000000000005,0.025,0.04,0.02,0.45,0.225,0.09689698589779962,0.1163630288325145,0.779072706009138,FALSE,omega_outside_target_band
55,2.25,0.060000000000000005,0.025,0.05,0.02,0.25,0.24750000000000003,0.25036198355056183,-5.263574383146067,0.5682748965898876,FALSE,d_star_negative|omega_outside_target_band
56,2.25,0.060000000000000005,0.025,0.05,0.02,0.35,0.24750000000000003,0.12657624799375145,-0.6216092997656782,0.7307436745082013,FALSE,d_star_negative|omega_outside_target_band
57,2.25,0.060000000000000005,0.025,0.05,0.02,0.45,0.24750000000000003,0.10388034506148039,0.22948706019448592,0.760532047106807,FALSE,omega_outside_target_band
58,2.25,0.060000000000000005,0.025,0.06,0.02,0.25,0.27,NA,NA,NA,FALSE,kappa_star_out_of_bounds
59,2.25,0.060000000000000005,0.025,0.06,0.02,0.35,0.27,0.13798114277294551,-0.6742928539854568,0.7063997501105089,FALSE,d_star_negative|omega_outside_target_band
60,2.25,0.060000000000000005,0.025,0.06,0.02,0.45,0.27,0.11095013556573455,0.33936991628495483,0.7418779470699735,FALSE,omega_outside_target_band
61,2.25,0.060000000000000005,0.030000000000000002,0.03,0.02,0.25,0.20249999999999999,0.1448673487327317,-2.0575255774774384,0.7357742326756769,FALSE,d_star_negative|omega_outside_target_band
62,2.25,0.060000000000000005,0.030000000000000002,0.03,0.02,0.35,0.20249999999999999,0.10709739990808907,-0.6411524965533405,0.7782654251033999,FALSE,d_star_negative|omega_outside_target_band
63,2.25,0.060000000000000005,0.030000000000000002,0.03,0.02,0.45,0.20249999999999999,0.08984465303379338,0.005825511232747845,0.7976747653369824,FALSE,omega_outside_target_band
64,2.25,0.060000000000000005,0.030000000000000002,0.04,0.02,0.25,0.225,0.17013780514234028,-2.6301676928377606,0.6960949692148672,FALSE,d_star_negative
65,2.25,0.060000000000000005,0.030000000000000002,0.04,0.02,0.35,0.225,0.11648987472787026,-0.6183703022951342,0.7564488909311459,FALSE,d_star_negative|omega_outside_target_band
66,2.25,0.060000000000000005,0.030000000000000002,0.04,0.02,0.45,0.225,0.09689698589779962,0.1163630288325145,0.7784908908649755,FALSE,omega_outside_target_band
