"phi1","lambda","ok","reason","a1","a2","a3","H","feasible_RH","hopf_band"
0.03,5,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03,6.21848739495798,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03,7.43697478991597,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03,8.65546218487395,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03,9.87394957983193,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03,11.0924369747899,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03,12.3109243697479,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03,13.5294117647059,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03,14.7478991596639,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03,15.9663865546218,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03,17.1848739495798,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03,18.4033613445378,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03,19.6218487394958,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03,20.8403361344538,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03,22.0588235294118,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03,23.2773109243697,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03,24.4957983193277,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03,25.7142857142857,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03,26.9327731092437,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03,28.1512605042017,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03,29.3697478991597,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03,30.5882352941176,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03,31.8067226890756,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03,33.0252100840336,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03,34.2436974789916,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03,35.4621848739496,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03,36.6806722689076,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03,37.8991596638655,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03,39.1176470588235,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03,40.3361344537815,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03,41.5546218487395,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03,42.7731092436975,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03,43.9915966386555,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03,45.2100840336134,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03,46.4285714285714,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03,47.6470588235294,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03,48.8655462184874,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03,50.0840336134454,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03,51.3025210084034,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03,52.5210084033613,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03,53.7394957983193,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03,54.9579831932773,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03,56.1764705882353,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03,57.3949579831933,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03,58.6134453781513,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03,59.8319327731092,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03,61.0504201680672,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03,62.2689075630252,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03,63.4873949579832,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03,64.7058823529412,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03,65.9243697478992,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03,67.1428571428571,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03,68.3613445378151,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03,69.5798319327731,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03,70.7983193277311,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03,72.0168067226891,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03,73.2352941176471,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03,74.453781512605,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03,75.672268907563,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03,76.890756302521,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03,78.109243697479,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03,79.327731092437,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03,80.546218487395,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03,81.7647058823529,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03,82.9831932773109,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03,84.2016806722689,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03,85.4201680672269,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03,86.6386554621849,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03,87.8571428571428,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03,89.0756302521008,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03,90.2941176470588,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03,91.5126050420168,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03,92.7310924369748,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03,93.9495798319328,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03,95.1680672268907,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03,96.3865546218487,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03,97.6050420168067,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03,98.8235294117647,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03,100.042016806723,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03,101.260504201681,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03,102.478991596639,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03,103.697478991597,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03,104.915966386555,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03,106.134453781513,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03,107.352941176471,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03,108.571428571429,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03,109.789915966387,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03,111.008403361345,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03,112.226890756303,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03,113.44537815126,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03,114.663865546218,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03,115.882352941176,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03,117.100840336134,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
