sigma,gn,i,kappa0,psi,rF,rF_tilde,rF_eff,phi2,phi1,feasible,reason,r_star,d_star,omega_star,e_star,f_star,Z_star,maxReEig,maxImEig,a1,a2,a3,H,stable,oscillatory,rh_ok,period,econ_ok,regime,score
2.25,0.05,0.081,-0.003163842037659126,0,0.03,-0,0.03,0.5,0.56382767899295,TRUE,OK,0.01039426523297492,4.032258064516128,0.65,0.94,0.4554181001227362,0.9999960365067461,0.08463951030764463,0.4649322907564922,-0.12110830918732256,0.21517159084032944,0.010757766601439202,-0.036816834153257885,FALSE,TRUE,FALSE,13.514194286131866,TRUE,unstable_oscillatory,0.5
2.25,0.05,0.081,-0.003163842037659126,0,0.03,-0,0.03,0.55,0.617018957530543,TRUE,OK,0.01039426523297492,4.032258064516128,0.65,0.9399999999999998,0.4554181001227362,0.9999960365067461,0.08470978274863848,0.4862930262342301,-0.12110301107379676,0.2354708850006152,0.011772650015395755,-0.04028888320918198,FALSE,TRUE,FALSE,12.92057456763363,TRUE,unstable_oscillatory,0.5
2.25,0.05,0.081,-0.003163842037659126,0,0.03,-0,0.03,0.6,0.6702102360681358,TRUE,OK,0.01039426523297492,4.032258064516128,0.65,0.94,0.4554181001227362,0.9999960365067461,0.08476925161991006,0.5067513514737282,-0.12109771296027096,0.2557701791609008,0.012787533429352311,-0.04376071716917615,FALSE,TRUE,FALSE,12.398951258653582,TRUE,unstable_oscillatory,0.5
2.25,0.05,0.081,-0.003163842037659126,0,0.03,-0,0.03,0.65,0.7234015146057288,TRUE,OK,0.01039426523297492,4.032258064516128,0.65,0.94,0.4554181001227362,0.9999960365067461,0.08482015511721991,0.5264130456607953,-0.12109241484674516,0.2760694733211865,0.013802416843308867,-0.047232336033240424,FALSE,TRUE,FALSE,11.935846497292701,TRUE,unstable_oscillatory,0.5
2.25,0.05,0.081,-0.003163842037659126,0,0.03,-0,0.03,0.7,0.7765927931433215,TRUE,OK,0.01039426523297492,4.032258064516128,0.65,0.9400000000000001,0.4554181001227362,0.9999960365067461,0.0848641524673248,0.545364675727087,-0.12108711673321935,0.29636876748147223,0.014817300257265418,-0.05070373980137479,FALSE,TRUE,FALSE,11.521071288313209,TRUE,unstable_oscillatory,0.5
2.25,0.05,0.081,-0.003163842037659126,0,0.03,-0,0.03,0.75,0.8297840716809145,TRUE,OK,0.01039426523297492,4.032258064516128,0.65,0.94,0.4554181001227362,0.9999960365067461,0.08490249993711087,0.5636781589994272,-0.12108181861969354,0.31666806164175787,0.015832183671221984,-0.05417492847357924,FALSE,TRUE,FALSE,11.146760268896584,TRUE,unstable_oscillatory,0.5
2.25,0.05,0.081,-0.003163842037659126,0,0.03,-0,0.03,0.8,0.8829753502185075,TRUE,OK,0.01039426523297492,4.032258064516128,0.65,0.94,0.4554181001227362,0.9999960365067461,0.08493616626141984,0.5814140193248474,-0.12107652050616774,0.33696735580204357,0.016847067085178538,-0.05764590204985379,FALSE,TRUE,FALSE,10.806731689194182,TRUE,unstable_oscillatory,0.5
2.25,0.05,0.081,-0.003163842037659126,0,0.03,-0,0.03,0.8500000000000001,0.9361666287561002,TRUE,OK,0.01039426523297492,4.032258064516128,0.65,0.94,0.4554181001227362,0.9999960365067461,0.08496591051442107,0.5986237670821247,-0.12107122239264194,0.35726664996232915,0.0178619504991351,-0.061116660530198416,FALSE,TRUE,FALSE,10.496050529042227,TRUE,unstable_oscillatory,0.5
2.25,0.05,0.081,-0.003163842037659126,0,0.03,-0,0.03,0.9,0.9893579072936931,TRUE,OK,0.01039426523297492,4.032258064516128,0.65,0.94,0.4554181001227362,0.9999960365067461,0.08499233595685499,0.6153516752380772,-0.12106592427911614,0.3775659441226148,0.01887683391309165,-0.06458720391461313,FALSE,TRUE,FALSE,10.210722681056561,TRUE,unstable_oscillatory,0.5
2.25,0.05,0.081,-0.003163842037659126,0,0.033,-0,0.033,0.5,0.5638282102201403,TRUE,OK,0.01039426523297492,4.032258064516128,0.65,0.94,0.5134824740406462,0.9999970352138637,0.08464456944255952,0.4649280476609753,-0.12111771576203388,0.21516789389858457,0.010757776737192259,-0.03681842055151649,FALSE,TRUE,FALSE,13.514317621382295,TRUE,unstable_oscillatory,0.5
2.25,0.05,0.081,-0.003163842037659126,0,0.033,-0,0.033,0.55,0.6170195418804524,TRUE,OK,0.01039426523297492,4.032258064516128,0.65,0.9399999999999998,0.5134824740406462,0.9999970352138637,0.08471531729785367,0.4862885564801257,-0.1211133583059792,0.23546681836469585,0.011772661164724125,-0.040290838306496456,FALSE,TRUE,FALSE,12.920693327967252,TRUE,unstable_oscillatory,0.5
2.25,0.05,0.081,-0.003163842037659126,0,0.033,-0,0.033,0.6,0.6702108735407641,TRUE,OK,0.01039426523297492,4.032258064516128,0.65,0.94,0.5134824740406462,0.9999970352138637,0.08477526085948772,0.5067466656162827,-0.12110900084992454,0.255765742830807,0.012787545592255993,-0.04376307915813378,FALSE,TRUE,FALSE,12.399065911047005,TRUE,unstable_oscillatory,0.5
2.25,0.05,0.081,-0.003163842037659126,0,0.033,-0,0.033,0.65,0.7234022052010761,TRUE,OK,0.01039426523297492,4.032258064516128,0.65,0.94,0.5134824740406462,0.9999970352138637,0.08482663846776206,0.5264081529329324,-0.12110464339386987,0.2760646672969182,0.013802430019787858,-0.047235143106428464,FALSE,TRUE,FALSE,11.935957435636643,TRUE,unstable_oscillatory,0.5
2.25,0.05,0.081,-0.003163842037659126,0,0.033,-0,0.033,0.7,0.7765935368613879,TRUE,OK,0.01039426523297492,4.032258064516128,0.65,0.94,0.5134824740406462,0.9999970352138637,0.08487110945784421,0.5453595842913526,-0.1211002859378152,0.29636359176302934,0.014817314447319712,-0.0507070301513805,FALSE,TRUE,FALSE,11.521178848161329,TRUE,unstable_oscillatory,0.5
2.25,0.05,0.081,-0.003163842037659126,0,0.033,-0,0.033,0.75,0.8297848685216999,TRUE,OK,0.01039426523297492,4.032258064516128,0.65,0.94,0.5134824740406462,0.9999970352138637,0.08490993017954016,0.5636728761379229,-0.12109592848176053,0.31666251622914054,0.015832198874851575,-0.05417874029298991,FALSE,TRUE,FALSE,11.146864738693187,TRUE,unstable_oscillatory,0.5
2.25,0.05,0.081,-0.003163842037659126,0,0.033,-0,0.033,0.8,0.8829762001820117,TRUE,OK,0.01039426523297492,4.032258064516128,0.65,0.94,0.5134824740406462,0.9999970352138637,0.08494406943220595,0.5814085515854034,-0.12109157102570586,0.33696144069525175,0.016847083302383437,-0.057650273531256686,FALSE,TRUE,FALSE,10.806833318922461,TRUE,unstable_oscillatory,0.5
2.25,0.05,0.081,-0.003163842037659126,0,0.033,-0,0.033,0.8500000000000001,0.9361675318423238,TRUE,OK,0.01039426523297492,4.032258064516128,0.65,0.94,0.5134824740406462,0.9999970352138637,0.08497428634096145,0.5986181203928236,-0.12108721356965119,0.35726036516136295,0.017861967729915305,-0.06112162986618083,FALSE,TRUE,FALSE,10.49614953696432,TRUE,unstable_oscillatory,0.5
2.25,0.05,0.081,-0.003163842037659126,0,0.033,-0,0.033,0.9,0.9893588635026357,TRUE,OK,0.01039426523297492,4.032258064516128,0.65,0.94,0.5134824740406462,0.9999970352138637,0.0850011842073251,0.6153458549983867,-0.12108285611359651,0.37755928962747415,0.018876852157447162,-0.06459280929776233,FALSE,TRUE,FALSE,10.210819259026389,TRUE,unstable_oscillatory,0.5
2.25,0.05,0.081,-0.003163842037659126,0,0.036,-0,0.036,0.5,0.5638286504571653,TRUE,OK,0.01039426523297492,4.032258064516128,0.65,0.94,0.5789498728220168,0.9999978628594709,0.08464937283939049,0.464924417770792,-0.12112673228881826,0.21516476911787014,0.010757785136863552,-0.036819990523789196,FALSE,TRUE,FALSE,13.51442313420759,TRUE,unstable_oscillatory,0.5
2.25,0.05,0.081,-0.003163842037659126,0,0.036,-0,0.036,0.55,0.6170200261411798,TRUE,OK,0.01039426523297492,4.032258064516128,0.65,0.9400000000000001,0.5789498728220168,0.9999978628594709,0.08472057572051098,0.48628473297354513,-0.12112327648544204,0.23546338110590997,0.011772670404362542,-0.04029276661625068,FALSE,TRUE,FALSE,12.920794919386054,TRUE,unstable_oscillatory,0.5
2.25,0.05,0.081,-0.003163842037659126,0,0.036,-0,0.036,0.6,0.6702114018251942,TRUE,OK,0.01039426523297492,4.032258064516128,0.65,0.9399999999999998,0.5789498728220168,0.9999978628594709,0.0847809737098465,0.5067426575072832,-0.1211198206820658,0.25576199309394965,0.012787555671861527,-0.04376540241268846,FALSE,TRUE,FALSE,12.399163982142712,TRUE,unstable_oscillatory,0.5
2.25,0.05,0.081,-0.003163842037659126,0,0.036,-0,0.036,0.65,0.7234027775092087,TRUE,OK,0.01039426523297492,4.032258064516128,0.65,0.94,0.5789498728220168,0.9999978628594709,0.08483280526717953,0.5264039681059043,-0.12111636487868957,0.2760606050819894,0.013802440939360528,-0.047237897913102574,FALSE,TRUE,FALSE,11.936052324581844,TRUE,unstable_oscillatory,0.5
2.25,0.05,0.081,-0.003163842037659126,0,0.036,-0,0.036,0.7,0.776594153193223,TRUE,OK,0.01039426523297492,4.032258064516128,0.65,0.94,0.5789498728220168,0.9999978628594709,0.08487772981727958,0.545355229716445,-0.12111290907531333,0.2963592170700291,0.014817326206859511,-0.050710253117493,FALSE,TRUE,FALSE,11.521270842944881,TRUE,unstable_oscillatory,0.5
2.25,0.05,0.081,-0.003163842037659126,0,0.036,-0,0.036,0.75,0.8297855288772374,TRUE,OK,0.01039426523297492,4.032258064516128,0.65,0.94,0.5789498728220168,0.9999978628594709,0.08491700377847577,0.5636683580333435,-0.1211094532719371,0.31665782905806883,0.01583221147435851,-0.05418246802585974,FALSE,TRUE,FALSE,11.146954086799933,TRUE,unstable_oscillatory,0.5
2.25,0.05,0.081,-0.003163842037659126,0,0.036,-0,0.036,0.8,0.8829769045612519,TRUE,OK,0.01039426523297492,4.032258064516128,0.65,0.94,0.5789498728220168,0.9999978628594709,0.08495159600343098,0.5814038755423081,-0.12110599746856088,0.3369564410461086,0.0168470967418575,-0.05765454263820281,FALSE,TRUE,FALSE,10.806920234783275,TRUE,unstable_oscillatory,0.5
2.25,0.05,0.081,-0.003163842037659126,0,0.036,-0,0.036,0.8500000000000001,0.9361682802452664,TRUE,OK,0.01039426523297492,4.032258064516128,0.65,0.94,0.5789498728220168,0.9999978628594709,0.08498226565936023,0.5986132914731461,-0.12110254166518464,0.35725505303414834,0.017861982009356493,-0.06112647695452219,FALSE,TRUE,FALSE,10.496234207758901,TRUE,unstable_oscillatory,0.5
2.25,0.05,0.081,-0.003163842037659126,0,0.036,-0,0.036,0.9,0.9893596559292808,TRUE,OK,0.01039426523297492,4.032258064516128,0.65,0.94,0.5789498728220168,0.9999978628594709,0.08500961608146881,0.615340877812685,-0.12109908586180841,0.37755366502218807,0.018876867276855475,-0.06459827097481788,FALSE,TRUE,FALSE,10.21090184925475,TRUE,unstable_oscillatory,0.5
2.25,0.05,0.081,-0.003163842037659126,0,0.039,-0,0.039,0.5,0.5638290012932471,TRUE,OK,0.01039426523297492,4.032258064516128,0.65,0.94,0.652764158829104,0.9999985224313045,0.08465373351733155,0.4649214259708463,-0.12113498283668296,0.21516222564486118,0.01075779183077522,-0.03682146434136799,FALSE,TRUE,FALSE,13.514510100409062,TRUE,unstable_oscillatory,0.5
2.25,0.05,0.081,-0.003163842037659126,0,0.039,-0,0.039,0.55,0.6170204120608698,TRUE,OK,0.01039426523297492,4.032258064516128,0.65,0.94,0.652764158829104,0.9999985224313045,0.08472535225938542,0.4862815818337022,-0.1211323520880932,0.23546058328560004,0.01177267776766538,-0.04029457204508448,FALSE,TRUE,FALSE,12.920878647072223,TRUE,unstable_oscillatory,0.5
2.25,0.05,0.081,-0.003163842037659126,0,0.039,-0,0.039,0.6,0.6702118228284922,TRUE,OK,0.01039426523297492,4.032258064516128,0.65,0.94,0.652764158829104,0.9999985224313045,0.08478616563458355,0.5067393544435439,-0.12112972133950344,0.2557589409263388,0.01278756370455554,-0.043767572949049476,FALSE,TRUE,FALSE,12.39924480323661,TRUE,unstable_oscillatory,0.5
2.25,0.05,0.081,-0.003163842037659126,0,0.039,-0,0.039,0.65,0.7234032335961149,TRUE,OK,0.01039426523297492,4.032258064516128,0.65,0.94,0.652764158829104,0.9999985224313045,0.0848384121976628,0.5264005196046339,-0.12112709059091367,0.2760572985670777,0.013802449641445702,-0.04724046705326303,FALSE,TRUE,FALSE,11.936130518827618,TRUE,unstable_oscillatory,0.5
