psi,kappa_max,n,n_stable,share_stable,n_RH_ok,share_RH_ok
5,0.45,860,0,0,144,0.16744186046511628
10,0.45,864,177,0.2048611111111111,512,0.5925925925925926
15,0.45,864,264,0.3055555555555556,651,0.7534722222222222
20,0.45,864,312,0.3611111111111111,704,0.8148148148148148
