psi,kappa_max,n_verified,rF_root_med,rF_root_p25,rF_root_p75,slope_med
5,0.45,118,0.006219515896388439,-0.009694871267869805,0.010591772541944103,0.12657070767082418
10,0.45,364,0.06523953463369718,0.05444026353425286,0.06780003726307023,0.2509120427082734
15,0.45,360,0.08203376182454236,0.07858741318397267,0.08749873890187922,0.3801237187139525
20,0.45,316,0.09357085271606562,0.09100603310711815,0.09768946323659869,0.4989698209064558
