rF_eff,phi2,scenario_id,psi,rF,rF_tilde
0.038,0.6,S01,0.2,0.047499999999999994,-0.0095
0.04,0.6,S02,0.2,0.049999999999999996,-0.01
0.043,0.6,S03,0.2,0.05374999999999999,-0.01075
0.038,0.7,S04,0.2,0.047499999999999994,-0.0095
0.04,0.7,S05,0.2,0.049999999999999996,-0.01
0.043,0.7,S06,0.2,0.05374999999999999,-0.01075
0.038,0.8,S07,0.2,0.047499999999999994,-0.0095
0.04,0.8,S08,0.2,0.049999999999999996,-0.01
0.043,0.8,S09,0.2,0.05374999999999999,-0.01075
