run,time_end,e_mean,e_sd,e_amp,omega_mean,omega_sd,omega_amp,d_mean,d_sd,d_amp,u_mean,u_sd,u_amp,xi_mean,xi_sd,xi_amp,gY_mean,p_mean,p_sd,p_amp,period_e,phi1,lambda_pre,lambda_post,lambda_star,scenario_type,sim_file,sim_exists,regime2
fixed_phi1_0.100_lambda_below_42.00,827.180412595388,2.0740599889331794,1.2195740600032865,3.6051730269934374,1.376863009706208,0.8449892110241877,2.4172249480953107,1.971490121951016,10.397279878876683,33.859084285512786,1.8147231831972173,1.701350001133035,5.191169065009753,7.521432300880412,5.378905618740689,2.434887517042857,0.025725527491836212,304656536.577942,787474462.487486,10.555005297108519,NA,0.1,41.999999999999886,41.999999999999886,59.999999999999844,fixed_lambda,outputs/wealth_goodwin/wealth_inequality/scenario_sim_fixed_phi1_0.100_lambda_below_42.00.csv,TRUE,Blow-up / out-of-domain
fixed_phi1_0.100_lambda_near_58.80,900,0.7986578794652721,0.02010214352954108,0.05605961411846361,0.8398157700562807,0.009340194268530012,0.026037435976452472,1.0001166704365998,0.0012253636662919736,0.003377285054496082,1.0015421280609818,0.033159621991508306,0.09230039803652212,1.256166719552321,0.001695369892484556,0.0037568159547811952,0.030087646180528,808.7759090779354,726.1263823834717,3.035584618713055,34.69999999999993,0.1,58.79999999999985,58.79999999999985,59.999999999999844,fixed_lambda,outputs/wealth_goodwin/wealth_inequality/scenario_sim_fixed_phi1_0.100_lambda_near_58.80.csv,TRUE,Cycle / sustained (nontrivial amp)
fixed_phi1_0.100_lambda_above_72.00,900,0.7999689747269445,7.748694438454203e-4,0.002376225141965449,0.8400005019798393,3.2005368441620204e-4,9.882225839182857e-4,0.9999869757981737,3.210325669134814e-4,9.844454019325433e-4,0.9999959846791254,0.0013177583262763885,0.004071322193444082,1.2562479977346535,5.5069505514562404e-5,1.3495838077823286e-4,0.030000011334717587,809.7228620394446,727.7928414369655,3.038412624682034,31.399999999999977,0.1,71.99999999999982,71.99999999999982,59.999999999999844,fixed_lambda,outputs/wealth_goodwin/wealth_inequality/scenario_sim_fixed_phi1_0.100_lambda_above_72.00.csv,TRUE,Convergent / damped (tiny amp)
movingHopf_phi1_0.100_lamPre_51.00_lamPost_72.00_r0Drift,900,0.8000002890432621,6.706771513114006e-7,2.184328088628007e-6,0.8649989930207377,1.6084589109848454e-6,5.468835973521102e-6,-1.499974423468511,4.039472323735023e-5,1.2415244052688124e-4,0.9785867885152684,1.7403009926212695e-6,5.722208895386771e-6,3.6668285331005586,2.160579792099869e-4,1.7674734561490268e-4,0.029999990350801652,1603938527709.0552,4044137500601.46,13.237371395175096,32.075000000000045,0.1,50.999999999999865,71.99999999999982,59.999999999999844,movingHopf_patriarch,outputs/wealth_goodwin/wealth_inequality/scenario_sim_movingHopf_phi1_0.100_lamPre_51.00_lamPost_72.00_r0Drift.csv,TRUE,Convergent / damped (tiny amp)
