plane,p1,p2,has_robust_sign_change,degeneracy_flag,sign_change,feasible_share,hopf_band_share,sd_H,H_min,H_max,n_feasible,n_ok,score
"(phi1, lambda)",phi1,lambda,TRUE,FALSE,TRUE,0.925,0.5540540540540541,0.0016344761563173915,-3.358190460930408e-4,0.005039999999999998,4588,4960,116.35135135135135
"(i, lambda)",i,lambda,TRUE,FALSE,TRUE,0.88015625,0.5675483756435292,0.002428996622546735,-6.465351147080333e-4,0.01169999999999999,5633,6400,112.20433439108822
"(r0, lambda)",r0,lambda,TRUE,FALSE,TRUE,0.7490625,0.4326241134751773,0.004682204628349826,-0.002300652139080277,0.02287999999999999,4794,6400,95.72185283687944
"(phi0, phi1)",phi0,phi1,FALSE,TRUE,FALSE,1,1,1.1777320680531925e-4,-5.226666666666667e-4,-1.1199999999999992e-4,4760,4760,125
"(phi1, i)",phi1,i,FALSE,TRUE,TRUE,0.45,1,9.771321289207703e-5,-3.291068026847552e-4,3.2526065174565133e-19,2232,4960,70
