phi1,i,ok,reason,a1,a2,a3,H,feasible_RH,hopf_band
0.03,0,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03,7.194244604316547e-4,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03,0.0014388489208633094,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03,0.002158273381294964,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03,0.0028776978417266188,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03,0.0035971223021582736,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03,0.004316546762589928,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03,0.005035971223021583,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03,0.0057553956834532375,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03,0.006474820143884892,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03,0.007194244604316547,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03,0.007913669064748202,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03,0.008633093525179856,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03,0.00935251798561151,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03,0.010071942446043166,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03,0.01079136690647482,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03,0.011510791366906475,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03,0.01223021582733813,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03,0.012949640287769784,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03,0.01366906474820144,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03,0.014388489208633094,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03,0.015107913669064749,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03,0.015827338129496403,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03,0.016546762589928057,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03,0.017266187050359712,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03,0.017985611510791366,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03,0.01870503597122302,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03,0.01942446043165468,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03,0.020143884892086333,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03,0.020863309352517987,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03,0.02158273381294964,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03,0.022302158273381296,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03,0.02302158273381295,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03,0.023741007194244605,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03,0.02446043165467626,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03,0.025179856115107913,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03,0.025899280575539568,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03,0.026618705035971222,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03,0.02733812949640288,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03,0.028057553956834534,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03,0.02877697841726619,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03,0.029496402877697843,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03,0.030215827338129497,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03,0.03093525179856115,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03,0.031654676258992806,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03,0.03237410071942446,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03,0.033093525179856115,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03,0.03381294964028777,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03,0.034532374100719423,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03,0.03525179856115108,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
