time,e,omega,d,p,xi,gY,pi,i_rate,lambda_t,r0_t,debt_stress
0,0.82,0.8,1,1,2,0.005,0.2,-0.000712788139546588,58.8,0.0404751920930311,0
0.05,0.819590102474586,0.800879663117567,0.997215795640427,0.999986887150906,1.99500561751301,0.005,0.199120336882433,-0.000889223159503988,58.8,0.0404755270239937,0
0.1,0.819180409846506,0.801758650709955,0.994434460155297,0.999947722656359,1.9900226027501,0.005,0.198241349290045,-0.00106552342365029,58.8,0.0404758621877728,0
0.15,0.818770922013541,0.802636959253154,0.991655991119882,0.999882853303881,1.98505121702646,0.005,0.197363040746846,-0.00124168822741934,58.8,0.0404761975845257,0
0.2,0.818361638886112,0.803514585666675,0.988880386403441,0.999792580812314,1.98009168225618,0.005,0.196485414333325,-0.00141771695494962,58.8,0.0404765332144097,0
0.25,0.817952560344829,0.80439152584569,0.986107643157226,0.999677305226262,1.97514428663261,0.005,0.19560847415431,-0.00159360878551143,58.8,0.0404768690775823,0
0.3,0.81754368629169,0.805267776421315,0.983337759030035,0.999537351706151,1.97020925617862,0.005,0.194732223578685,-0.00176936304556441,58.8,0.040477205174201,0
0.35,0.817135016624477,0.806143333880781,0.980570731561513,0.999373057527249,1.96528682009575,0.005,0.193856666119219,-0.00194497903279124,58.8,0.0404775415044234,0
0.4,0.816726551241019,0.807018194713838,0.97780655828361,0.999184757606198,1.96037720041891,0.005,0.192981805286162,-0.00212045604537844,58.8,0.0404778780684073,0
0.45,0.816318290039204,0.807892355413339,0.975045236718972,0.998972783950053,1.95548061061617,0.005,0.192107644586661,-0.00229579338213359,58.8,0.0404782148663105,0
0.5,0.815910232916966,0.808765812474671,0.972286764382775,0.998737466177236,1.9505972574602,0.005,0.191234187525329,-0.00247099034237086,58.8,0.0404785518982911,0
0.55,0.815502379772291,0.809638562396002,0.969531138782043,0.998479131267735,1.94572734052157,0.005,0.190361437603998,-0.00264604622596084,58.8,0.0404788891645069,0
0.6,0.815094730503215,0.810510601678325,0.966778357415609,0.998198103510512,1.94087105226125,0.005,0.189489398321675,-0.00282096033333947,58.8,0.0404792266651163,0
0.65,0.814687285007826,0.811381926825466,0.964028417774173,0.997894704488366,1.93602857822224,0.005,0.188618073174534,-0.00299573196550929,58.8,0.0404795644002774,0
0.7,0.814280043184262,0.812252534344111,0.961281317340316,0.997569253043715,1.93120009718313,0.005,0.187747465655889,-0.00317036042404502,58.8,0.0404799023701485,0
0.75,0.813873004930713,0.81312242074383,0.958537053588507,0.997222065252489,1.92638578128683,0.005,0.18687757925617,-0.00334484501109827,58.8,0.0404802405748882,0
0.8,0.81346617014542,0.813991582537102,0.955795623985114,0.996853454398392,1.92158579617602,0.005,0.186008417462898,-0.00351918502940279,58.8,0.0404805790146549,0
