plane,n_ok,n_feasible,H_min,H_q05,H_med,H_q95,H_max,share_absH_lt_1e_06,share_absH_lt_1e_04,share_absH_lt_1e_03,share_absH_lt_1e_02
hopf_plane_phi1_lambda,15120,14040,-3.3599951693321647e-4,-3.3225913082483643e-4,7.015793868502317e-4,0.004493819574556177,0.005039999999999998,0,0.06153846153846154,0.5538461538461539,1
hopf_plane_r0_lambda,19600,14744,-0.0024307732519020767,-8.301920371406466e-4,0.0012628163298192704,0.013487868796001558,0.02287999999999999,6.104177970699946e-4,0.062805208898535,0.43475311991318505,0.8950081389039609
hopf_plane_phi1_i,15120,6804,-3.3122003116930923e-4,-3.1600756804628225e-4,-1.7003122681710734e-4,-1.6841088280454693e-5,2.710505431213761e-19,0.015873015873015872,0.30158730158730157,1,1
