time,e,omega,d,p,xi,gY,pi,i_rate,lambda_t,r0_t,debt_stress
0,0.84,0.78,0.85,1,1.8,0.657342735867807,0.22,0.010625623391678,59.9816794153435,0.0355829177388813,0
0.05,0.867162402940095,0.780989484320555,0.820575679575601,1.00058190958377,1.79693307800849,0.645429235937798,0.219010515679445,0.010427007027107,59.9816643752012,0.0355833974058547,0
0.1,0.894640028692174,0.782087080573177,0.792594932720261,1.00112574609748,1.79385075914455,0.632218760412781,0.217912919426823,0.0102067676918482,59.9816493229034,0.0355838774623442,0
0.15,0.922350296492317,0.783294275345307,0.766028998248419,1.00162875726516,1.79075080260645,0.617693476660594,0.216705724654693,0.00996460806795181,59.9816342584408,0.0355843579086578,0
0.2,0.950196229480444,0.784612345198091,0.74084657676323,1.00208801176316,1.78763084906738,0.601838071612022,0.215387654801909,0.00970027284272662,59.9816191818038,0.0355848387451034,0
0.25,0.978072686317582,0.786041916526967,0.717016873781128,1.0025006933286,1.78448866139806,0.584645031811273,0.213958083473033,0.00941363673662286,59.981604092983,0.0355853199719892,0
0.3,0.99,0.787565405536919,0.694506843623777,1.00286409600624,1.7813221274586,0.566325299043564,0.212434594463081,0.00910821650818079,59.9815889919687,0.0355858015896237,0
0.35,0.99,0.789102656410221,0.673260843995757,1.00317721518028,1.77813066416104,0.547840448563733,0.210897343589779,0.00880004332048249,59.9815738787514,0.0355862835983155,0
0.4,0.99,0.790642907847292,0.653207242867617,1.00344049514851,1.774914970147,0.529319576384644,0.209357092152708,0.00849126943298117,59.9815587533217,0.0355867659983736,0
0.45,0.99,0.792186165704971,0.63427890192936,1.00365442837713,1.7716757726537,0.510762612256521,0.207813834295029,0.00818189367384523,59.9815436156699,0.0355872487901071,0
0.5,0.99,0.793732435851514,0.616413415917631,1.00381950874998,1.76841378684341,0.492169485792714,0.206267564148486,0.00787191486895904,59.9815284657864,0.0355877319738254,0
0.55,0.99,0.795281724166602,0.599552764428971,1.003936231292,1.76512971585851,0.473540126469675,0.204718275833398,0.00756133184192248,59.9815133036618,0.0355882155498381,0
0.6,0.99,0.796834036541404,0.583643031360248,1.0040050919197,1.76182425080851,0.454874463626109,0.203165963458596,0.00725014341403683,59.9814981292865,0.035588699518455,0
0.65,0.99,0.798389378878589,0.5686341017294,1.00402658717505,1.75849807083539,0.436172426462867,0.201610621121411,0.00693834840430296,59.9814829426508,0.0355891838799862,0
