"run","time_end","slope_log_xi","slope_d","slope_u","slope_e","amp_e","amp_omega","amp_d","amp_u","amp_log_xi","gY_bar","gK_bar","gU_bar","cycle_e","explode_e","cycle_d","explode_d","hit_bound","macro_regime","ineq_regime","regime_2x2"
"lambda_belowHopf",700,8.90970266806421e-10,-1.03825529191015e-09,-2.82912383669257e-11,-1.14668489342882e-11,3.1729906480038e-09,9.82452830200486e-09,2.87295509826535e-07,7.82846687474859e-09,2.46540279968954e-07,0.029999999977428,0.0300000000233611,-4.59331531968146e-11,FALSE,FALSE,FALSE,FALSE,FALSE,"Stable equilibrium (damped)","Contained inequality","Stable equilibrium (damped) × Contained inequality"
"lambda_aboveHopf",700,7.38815413742541e-10,-8.68199184296054e-10,-2.37433316108455e-11,-9.664627339028e-12,2.67749300508768e-09,8.25304979912289e-09,2.40526336181546e-07,6.57786425328766e-09,2.04681785964667e-07,0.0299999999809253,0.0300000000195749,-3.86496261500504e-11,FALSE,FALSE,FALSE,FALSE,FALSE,"Stable equilibrium (damped)","Contained inequality","Stable equilibrium (damped) × Contained inequality"
