path,bytes,ext
outputs/wealth_goodwin/grid_search/gate_diagnostics.csv.tex,0,tex
outputs/wealth_goodwin/grid_search/grid_results.csv,17933419,csv
outputs/wealth_goodwin/grid_search/grid_results_augmented.csv,17933419,csv
outputs/wealth_goodwin/grid_search/grid_search_gallery_auto_REL.aux,7933,aux
outputs/wealth_goodwin/grid_search/grid_search_gallery_auto_REL.bbl,0,bbl
outputs/wealth_goodwin/grid_search/grid_search_gallery_auto_REL.blg,1122,blg
outputs/wealth_goodwin/grid_search/grid_search_gallery_auto_REL.log,43884,log
outputs/wealth_goodwin/grid_search/grid_search_gallery_auto_REL.out,2410,out
outputs/wealth_goodwin/grid_search/grid_search_gallery_auto_REL.pdf,1649759,pdf
outputs/wealth_goodwin/grid_search/grid_search_gallery_auto_REL.synctex.gz,28854,gz
outputs/wealth_goodwin/grid_search/grid_search_gallery_auto_REL.tex,9893,tex
outputs/wealth_goodwin/grid_search/hopf_roots.csv,71217,csv
outputs/wealth_goodwin/grid_search/manifest_outputs.csv,13340,csv
outputs/wealth_goodwin/grid_search/manifest_stage5.csv,17977,csv
outputs/wealth_goodwin/grid_search/sessionInfo.txt,1453,txt
outputs/wealth_goodwin/grid_search/stage1_backbone/backbone_rate_by_kappa_max.csv,83,csv
outputs/wealth_goodwin/grid_search/stage1_backbone/backbone_rate_by_kappa_max.png,23230,png
outputs/wealth_goodwin/grid_search/stage1_backbone/d_vs_r.png,53979,png
outputs/wealth_goodwin/grid_search/stage1_backbone/failure_reasons.csv,94,csv
outputs/wealth_goodwin/grid_search/stage1_backbone/failure_reasons_by_kappa_max.csv,273,csv
outputs/wealth_goodwin/grid_search/stage1_backbone/hist_d.png,33827,png
outputs/wealth_goodwin/grid_search/stage1_backbone/hist_omega.png,48386,png
outputs/wealth_goodwin/grid_search/stage1_backbone/omega_vs_r.png,83959,png
outputs/wealth_goodwin/grid_search/stage1_backbone/reasons_by_kappa_max_tile.png,31468,png
outputs/wealth_goodwin/grid_search/stage1_backbone/stage1_backbone.csv,79503,csv
outputs/wealth_goodwin/grid_search/stage2_finance/candidates_top.csv,12908,csv
outputs/wealth_goodwin/grid_search/stage2_finance/econ_ok_cloud.png,102515,png
outputs/wealth_goodwin/grid_search/stage2_finance/f_vs_lambda.png,57951,png
outputs/wealth_goodwin/grid_search/stage2_finance/failure_reasons.csv,40,csv
outputs/wealth_goodwin/grid_search/stage2_finance/lambda_dist.png,30566,png
outputs/wealth_goodwin/grid_search/stage2_finance/stage2_finance_scan.csv,853541,csv
outputs/wealth_goodwin/grid_search/stage3_stability/RH_ok_tiles.png,36002,png
outputs/wealth_goodwin/grid_search/stage3_stability/failure_reasons.csv,17,csv
outputs/wealth_goodwin/grid_search/stage3_stability/hopf_boundary_rFroot_phi2.png,64483,png
