path,rel_path,dir,file,ext,bytes,mtime,is_stage5,artifact,candidate_id,side
outputs/wealth_goodwin/grid_search/stage5/stage5A_hopf_cert/stage5A_hopf_certified.csv,stage5/stage5A_hopf_cert/stage5A_hopf_certified.csv,stage5/stage5A_hopf_cert,stage5A_hopf_certified.csv,csv,11471,2025-12-30T23:47:38Z,TRUE,5A_hopf_certified,NA,NA
outputs/wealth_goodwin/grid_search/stage5/stage5A_hopf_cert/stage5_candidate_pool.csv,stage5/stage5A_hopf_cert/stage5_candidate_pool.csv,stage5/stage5A_hopf_cert,stage5_candidate_pool.csv,csv,10615,2025-12-30T23:47:38Z,TRUE,5A_pool,NA,NA
outputs/wealth_goodwin/grid_search/stage5/stage5B_sim/stage5B_cycle_metrics.csv,stage5/stage5B_sim/stage5B_cycle_metrics.csv,stage5/stage5B_sim,stage5B_cycle_metrics.csv,csv,16093,2025-12-30T23:47:38Z,TRUE,5B_cycle_metrics,NA,NA
outputs/wealth_goodwin/grid_search/stage5/stage5B_sim/traj_10_above.csv,stage5/stage5B_sim/traj_10_above.csv,stage5/stage5B_sim,traj_10_above.csv,csv,1163122,2025-12-30T23:47:38Z,TRUE,5B_trajectory,10,above
outputs/wealth_goodwin/grid_search/stage5/stage5B_sim/traj_10_below.csv,stage5/stage5B_sim/traj_10_below.csv,stage5/stage5B_sim,traj_10_below.csv,csv,1139065,2025-12-30T23:47:38Z,TRUE,5B_trajectory,10,below
outputs/wealth_goodwin/grid_search/stage5/stage5B_sim/traj_11_above.csv,stage5/stage5B_sim/traj_11_above.csv,stage5/stage5B_sim,traj_11_above.csv,csv,1187624,2025-12-30T23:47:38Z,TRUE,5B_trajectory,11,above
outputs/wealth_goodwin/grid_search/stage5/stage5B_sim/traj_11_below.csv,stage5/stage5B_sim/traj_11_below.csv,stage5/stage5B_sim,traj_11_below.csv,csv,1169502,2025-12-30T23:47:38Z,TRUE,5B_trajectory,11,below
outputs/wealth_goodwin/grid_search/stage5/stage5B_sim/traj_12_above.csv,stage5/stage5B_sim/traj_12_above.csv,stage5/stage5B_sim,traj_12_above.csv,csv,1187486,2025-12-30T23:47:38Z,TRUE,5B_trajectory,12,above
outputs/wealth_goodwin/grid_search/stage5/stage5B_sim/traj_12_below.csv,stage5/stage5B_sim/traj_12_below.csv,stage5/stage5B_sim,traj_12_below.csv,csv,1177950,2025-12-30T23:47:38Z,TRUE,5B_trajectory,12,below
outputs/wealth_goodwin/grid_search/stage5/stage5B_sim/traj_13_above.csv,stage5/stage5B_sim/traj_13_above.csv,stage5/stage5B_sim,traj_13_above.csv,csv,1090968,2025-12-30T23:47:38Z,TRUE,5B_trajectory,13,above
