sigma,psi,phi2,hopf_rF
2,0,0.1,0.028862513161095015
2,0,0.2,0.0336894695637147
2,0,0.30000000000000004,NA
2,0,0.4,NA
2,0,0.5,NA
2,0,0.6,0.041111188558147174
2,0,0.7000000000000001,0.04185122545581467
2,0,0.8,0.04240605866018791
2,0,0.9,0.04283747915945304
2,0,1,0.043182541614423836
2,0,1.1,0.04346481623963246
2,0,1.2000000000000002,0.04370001109134226
2,0,1.3000000000000003,0.043898997871022055
2,0,1.4000000000000001,0.04406954021134539
2,0,1.5,0.04421733027309088
2,0.05,0.1,0.03033045088589214
2,0.05,0.2,0.034849062662093734
2,0.05,0.30000000000000004,NA
2,0.05,0.4,0.040705953207876865
2,0.05,0.5,0.04192659322610508
2,0.05,0.6,0.042739726583581016
2,0.05,0.7000000000000001,0.04332022311949368
2,0.05,0.8,0.04375542196838275
2,0.05,0.9,0.04409380605447946
2,0.05,1,0.04436444733948258
2,0.05,1.1,0.044585837215145564
2,0.05,1.2000000000000002,0.044770298438369036
2,0.05,1.3000000000000003,0.04492635937586376
2,0.05,1.4000000000000001,NA
2,0.05,1.5,NA
2,0.1,0.1,0.031800938659964764
2,0.1,0.2,0.03755849469207609
2,0.1,0.30000000000000004,0.04086894786523553
2,0.1,0.4,0.04252011264029838
2,0.1,0.5,0.043509441048583654
2,0.1,0.6,0.04416840494222199
2,0.1,0.7000000000000001,0.04463879959711201
2,0.1,0.8,0.04499143267963215
2,0.1,0.9,NA
2,0.1,1,NA
2,0.1,1.1,NA
2,0.1,1.2000000000000002,NA
2,0.1,1.3000000000000003,NA
2,0.1,1.4000000000000001,NA
2,0.1,1.5,NA
2,0.15000000000000002,0.1,0.03333168343131387
2,0.15000000000000002,0.2,0.04001153390830165
2,0.15000000000000002,0.30000000000000004,0.04278236547581028
2,0.15000000000000002,0.4,0.04416377853313047
2,0.15000000000000002,0.5,0.0449912765603038
2,0.15000000000000002,0.6,NA
2,0.15000000000000002,0.7000000000000001,NA
2,0.15000000000000002,0.8,NA
2,0.15000000000000002,0.9,NA
2,0.15000000000000002,1,0.050715313906627105
2,0.15000000000000002,1.1,0.05123723882201508
2,0.15000000000000002,1.2000000000000002,0.05167212342999292
2,0.15000000000000002,1.3000000000000003,0.052040065043234524
2,0.15000000000000002,1.4000000000000001,0.05235541598325691
2,0.15000000000000002,1.5,0.05262869946883297
2,0.2,0.1,0.034982551709908695
2,0.2,0.2,0.042200816322906703
2,0.2,0.30000000000000004,0.04459196543188339
2,0.2,0.4,NA
2,0.2,0.5,0.049183517121994695
2,0.2,0.6,0.05051252105621826
2,0.2,0.7000000000000001,0.05146137765746564
2,0.2,0.8,0.05217278059161025
2,0.2,0.9,0.05272595057236293
2,0.2,1,0.05316839548050589
2,0.2,1.1,0.05353033525818833
2,0.2,1.2000000000000002,0.053831909858064575
2,0.2,1.3000000000000003,0.05408705849795274
2,0.2,1.4000000000000001,0.05430573546082569
2,0.2,1.5,0.05449523911333721
2,0.25,0.1,0.037875937122498746
2,0.25,0.2,0.04431416450356977
2,0.25,0.30000000000000004,0.0483195945749589
2,0.25,0.4,0.050764018270635744
2,0.25,0.5,0.05222892578334916
2,0.25,0.6,0.05320478069362207
2,0.25,0.7000000000000001,0.05390144525012823
2,0.25,0.8,0.05442373592498126
2,0.25,0.9,0.05482983762814961
2,0.25,1,NA
2,0.25,1.1,NA
2,0.25,1.2000000000000002,NA
2,0.25,1.3000000000000003,NA
2,0.25,1.4000000000000001,NA
2,0.25,1.5,NA
2,0.30000000000000004,0.1,0.04060651331768083
2,0.30000000000000004,0.2,0.047937179471121444
2,0.30000000000000004,0.30000000000000004,0.05173711366401046
2,0.30000000000000004,0.4,0.0536321916321605
2,0.30000000000000004,0.5,0.054767589045737926
2,0.30000000000000004,0.6,NA
2,0.30000000000000004,0.7000000000000001,0.05805556890997372
2,0.30000000000000004,0.8,0.059218414517267566
2,0.30000000000000004,0.9,0.060122644532968894
2,0.30000000000000004,1,0.06084589806118508
2,0.30000000000000004,1.1,0.061437564121400334
2,0.30000000000000004,1.2000000000000002,0.06193055916451254
2,0.30000000000000004,1.3000000000000003,0.06234766602147402
2,0.30000000000000004,1.4000000000000001,0.06270515484638893
2,0.30000000000000004,1.5,0.06301495502141513
2,0.35000000000000003,0.1,0.043363234276469674
2,0.35000000000000003,0.2,0.051625483513059255
2,0.35000000000000003,0.30000000000000004,0.05472748633509335
2,0.35000000000000003,0.4,0.0579220753510235
2,0.35000000000000003,0.5,0.060048083483245245
2,0.35000000000000003,0.6,0.06146446257119864
2,0.35000000000000003,0.7000000000000001,0.06247568252051712
2,0.35000000000000003,0.8,0.06323383164509022
