"time","e","omega","d","r","kappa","g","g_n","theta","lambda_tilt","denom","f","Ztilde","y_pc","y_pc_0","y_pc_norm"
0,0.904422758117071,0.83,1.1,0.042,0.15299960006399,0.0309998666879966,0.03,0.492001066496027,0.571232347246932,-0.00675888703340386,1.80322406832822,0.999880519833441,0.904422758117071,0.904422758117071,1
0.05,0.904469521955143,0.829603651800042,1.09963824876012,0.0421369394165178,0.153204921296115,0.0310683070987051,0.03,0.491453543210359,0.570701831466255,-0.0068273274441124,1.79123329980123,0.999864812882258,0.905374443862642,0.904422758117071,1.00105225762734
0.1,0.904519383908847,0.829207706914117,1.09926302962826,0.0422739239669175,0.153410298179577,0.031136766059859,0.03,0.490905871521128,0.570170883824799,-0.00689578640526627,1.77947497679096,0.999847375927099,0.906330232922061,0.904422758117071,1.00210905219696
0.15,0.904572345271156,0.828812179284306,1.0988743613206,0.0424109487542901,0.153615722591371,0.0312052408637903,0.03,0.490358073089678,0.569639524870562,-0.00696426120919755,1.76794276307905,0.999828056255675,0.907290136956154,0.904422758117071,1.00317039660197
0.2,0.90462840709887,0.828417081202686,1.09847226070378,0.0425480094563877,0.153821187270587,0.0312737290901956,0.03,0.489810167278435,0.569107772964794,-0.00703274943560291,1.75663050149726,0.999806691065058,0.908254167413549,0.904422758117071,1.00423630350087
0.25,0.904687570713948,0.828022429168595,1.09805675082724,0.042685100266105,0.154026682731336,0.0313422275771121,0.03,0.489262179383103,0.568575652272044,-0.00710124792251941,1.74553237360802,0.999783107378892,0.909222336033393,0.904422758117071,1.00530678587336
0.3,0.904749837074483,0.827628236890698,1.0976278514226,0.0428222163507992,0.15423220094989,0.0314107336499633,0.03,0.488714130800294,0.568043183220476,-0.00716975399537061,1.73464268534301,0.99975712126592,0.910194654213907,0.904422758117071,1.00638185632221
0.35,0.904815207100879,0.827234518794111,1.09718558359399,0.0429593526207097,0.154437733518685,0.0314792445062284,0.03,0.488166043950173,0.567510387278296,-0.00723826485163571,1.72395596071761,0.999728537606599,0.911171133339075,0.904422758117071,1.00746152743442
0.4,0.904883681623748,0.826841289436955,1.09672996901303,0.0430965039341747,0.1546432719543,0.0315477573181001,0.03,0.487617941455199,0.566977286157566,-0.0073067776635074,1.71346691595042,0.999697149643037,0.912151784725972,0.904422758117071,1.00854581172304
0.45,0.904955261363861,0.826448563548012,1.09626103004323,0.0432336650834196,0.154848807676492,0.0316162692254973,0.03,0.487069846196022,0.566443901869248,-0.00737528957090457,1.70317045220007,0.999662738559572,0.913136619604124,0.904422758117071,1.0096347216043
0.5,0.905029946951771,0.826056356005103,1.0957787896112,0.0433708308034831,0.155054332021915,0.0316847773406382,0.03,0.486521781274894,0.565910256688358,-0.00744379768604549,1.69306164692713,0.999625073054372,0.914125649134812,0.904422758117071,1.01072826941898
0.55,0.905107738918603,0.825664681856326,1.09528327126135,0.0435079957644067,0.155259836232765,0.031753278744255,0.03,0.48597377004596,0.565376373184157,-0.00751229908966233,1.68313574693887,0.999583908911812,0.91511888440135,0.904422758117071,1.01182646742166
0.6,0.90518863769386,0.825273556331046,1.09477449916553,0.0436451545674441,0.155465311451459,0.0318217704838198,0.03,0.485425836129442,0.564842274234752,-0.00758079082922709,1.67338816147352,0.999538988571277,0.916116336406392,0.904422758117071,1.01292932777772
0.65,0.905272643604483,0.824882994849315,1.0942524981245,0.0437823017419016,0.155670748716263,0.0318902495720876,0.03,0.484878003423299,0.564307983039252,-0.00764926991749487,1.6638144555771,0.999490040693393,0.917118016070511,0.904422758117071,1.01403686256179
0.7,0.90535975687318,0.824493013032568,1.0937172935739,0.0439194317414921,0.1558761389562,0.0319587129854001,0.03,0.484330296116799,0.563773523131841,-0.00771773333080739,1.65441034383499,0.999436779724386,0.91812393423002,0.904422758117071,1.01514908375534
