sigma,psi,rF,rF_tilde,rF_eff,phi2,phi1,feasible,reason,r_star,d_star,omega_star,e_star,f_star,Z_star,maxReEig,maxImEig,a1,a2,a3,H,stable,oscillatory,rh_ok,period,econ_ok,regime,score,absH
2,0.14,0.045,-0.0063,0.0387,0.55,0.6061646247176119,TRUE,OK,0.04409028054839424,2.3939812967737173,0.84,0.94,1.1846303190112706,0.9996268131537364,-4.7321048684462186e-5,0.6352486824916665,0.02992080438943537,0.4035437136572355,0.01203607610187816,3.827641704630402e-5,TRUE,TRUE,TRUE,9.890906475452644,TRUE,stable_oscillatory,0,3.827641704630402e-5
2,0.02,0.039,-7.8e-4,0.03822,0.5,0.5529693282912688,TRUE,OK,0.04409028054839424,2.3939812967737173,0.84,0.94,1.1621023771819372,0.9995823371875852,-6.572099152762911e-5,0.6069199965835275,0.02993941755755922,0.3683558045916178,0.01097982403776652,4.853420565261238e-5,TRUE,TRUE,TRUE,10.352575862632436,TRUE,stable_oscillatory,0,4.853420565261238e-5
2,0.1,0.045,-0.0045,0.0405,0.8,0.8721362970658095,TRUE,OK,0.04409028054839424,2.3939812967737173,0.84,0.94,1.2730693030654825,0.999760149052326,6.896413101326049e-5,0.761253465173405,0.02974479206845835,0.5795027213228888,0.01731724091880895,-8.005296995385741e-5,FALSE,TRUE,TRUE,8.253736231924208,TRUE,unstable_oscillatory,0.5,8.005296995385741e-5
2,0.3,0.05699999999999999,-0.01709999999999999,0.0399,0.7,0.7657497397460499,TRUE,OK,0.04409028054839424,2.3939812967737173,0.84,0.94,1.2428793681142911,0.9997210790875528,1.3115493719409457e-4,0.7135200780211028,0.02960312092845914,0.5091030849434559,0.01520481692060224,-1.3377673196950796e-4,FALSE,TRUE,TRUE,8.80589839126259,TRUE,unstable_oscillatory,0.5,1.3377673196950796e-4
2,0.24,0.051,-0.01224,0.03876,0.55,0.6061677093242296,TRUE,OK,0.04409028054839424,2.3939812967737173,0.84,0.9399999999999998,1.1874768462432437,0.999632085026865,1.933039675832693e-4,0.6352374832444491,0.02944075522370479,0.4035151659898831,0.01203613735019005,-1.563461192292965e-4,FALSE,TRUE,TRUE,9.891080852295552,TRUE,unstable_oscillatory,0.5,1.563461192292965e-4
2,0.32,0.05699999999999999,-0.01824,0.03875999999999999,0.55,0.6061677093242296,TRUE,OK,0.04409028054839424,2.3939812967737173,0.84,0.9399999999999998,1.1874768462432437,0.999632085026865,1.933039675832693e-4,0.6352374832444491,0.02944075522370479,0.4035151659898831,0.01203613735019005,-1.563461192292965e-4,FALSE,TRUE,TRUE,9.891080852295552,TRUE,unstable_oscillatory,0.5,1.563461192292965e-4
2,0.24,0.054,-0.01296,0.04104,0.9,0.9785235523640105,TRUE,OK,0.04409028054839424,2.3939812967737173,0.84,0.94,1.3008667314829934,0.9997912658024106,1.2190861751826264e-4,0.8061633854974984,0.0296526224428091,0.6498921297112399,0.01942967877615771,-1.586728252772028e-4,FALSE,TRUE,TRUE,7.793935348852535,TRUE,unstable_oscillatory,0.5,1.586728252772028e-4
2,0.28,0.05699999999999999,-0.01596,0.04103999999999999,0.9,0.9785235523640105,TRUE,OK,0.04409028054839424,2.3939812967737173,0.84,0.94,1.3008667314829927,0.9997912658024106,1.219086175182904e-4,0.8061633854974984,0.02965262244280907,0.6498921297112399,0.01942967877615771,-1.5867282527721668e-4,FALSE,TRUE,TRUE,7.793935348852535,TRUE,unstable_oscillatory,0.5,1.5867282527721668e-4
2,0.06,0.04199999999999999,-0.00251999999999999,0.03947999999999999,0.65,0.712552054986284,TRUE,OK,0.04409028054839424,2.3939812967737173,0.84,0.9399999999999998,1.2221734117651066,0.9996906641340106,-1.6757052908279724e-4,0.6884280103571945,0.03018854407133408,0.4739431586253233,0.01414851743346118,1.5913649800667305e-4,TRUE,TRUE,TRUE,9.126858891054596,TRUE,stable_oscillatory,0,1.5913649800667305e-4
2,0.2,0.051,-0.0102,0.0408,0.8500000000000001,0.9253310670564452,TRUE,OK,0.04409028054839424,2.3939812967737173,0.84,0.94,1.2884381634386253,0.9997778859212452,1.8601772083462476e-4,0.7840266942705063,0.02951822898110796,0.614686771693605,0.01837348252995125,-2.2901765144138844e-4,FALSE,TRUE,TRUE,8.013994106445246,TRUE,unstable_oscillatory,0.5,2.2901765144138844e-4
