sigma,psi,rF,rF_eff,phi2,phi1,e_star,omega_star,d_star,f_star,stable,oscillatory,maxReEig,maxImEig,H,absH,period,score
2,0.14,0.045,0.0387,0.55,0.6061646247176119,0.94,0.84,2.3939812967737173,1.1846303190112706,TRUE,TRUE,-4.7321048684462186e-5,0.6352486824916665,3.827641704630402e-5,3.827641704630402e-5,9.890906475452644,0
2,0.02,0.039,0.03822,0.5,0.5529693282912688,0.94,0.84,2.3939812967737173,1.1621023771819372,TRUE,TRUE,-6.572099152762911e-5,0.6069199965835275,4.853420565261238e-5,4.853420565261238e-5,10.352575862632436,0
2,0.06,0.04199999999999999,0.03947999999999999,0.65,0.712552054986284,0.9399999999999998,0.84,2.3939812967737173,1.2221734117651066,TRUE,TRUE,-1.6757052908279724e-4,0.6884280103571945,1.5913649800667305e-4,1.5913649800667305e-4,9.126858891054596,0
2,0.08,0.04199999999999999,0.03863999999999999,0.55,0.6061615034816611,0.94,0.84,2.3939812967737173,1.1817906152532107,TRUE,TRUE,-2.9018782251981345e-4,0.6352599226549764,2.34739946777451e-4,2.34739946777451e-4,9.89073146771156,0
2,0.38,0.063,0.03906,0.6,0.659355866840045,0.9399999999999998,0.84,2.3939812967737173,1.2018124097528708,TRUE,TRUE,-3.15819851737148e-4,0.6623808137299814,2.777052687734302e-4,2.777052687734302e-4,9.48575981812921,0
2,0.22,0.051,0.03978,0.7,0.7657434677959307,0.94,0.84,2.3939812967737173,1.2369278422363754,TRUE,TRUE,-3.8116729811008e-4,0.7135402050394855,3.88832087429649e-4,3.88832087429649e-4,8.805650000944082,0
2,0,0.039,0.039,0.6,0.6593526963219488,0.9399999999999998,0.84,2.3939812967737173,1.1989315184218885,TRUE,TRUE,-5.662418749117354e-4,0.6623916589969566,4.979385858843392e-4,4.979385858843392e-4,9.485604508809876,0
2,0.38,0.066,0.04092,0.9,0.97851723119048994,0.94,0.84,2.3939812967737173,1.2946375332077908,TRUE,TRUE,-4.192327238606852e-4,0.8061813136568291,5.457129373313829e-4,5.457129373313829e-4,7.7937620244249155,0
2,0.18,0.048,0.03936,0.65,0.7125457053442676,0.94,0.84,2.3939812967737173,1.2163210363262444,TRUE,TRUE,-6.772832276429469e-4,0.6884489142607306,6.43275349139192e-4,6.43275349139192e-4,9.126581765223042,0
2,0.04,0.04199999999999999,0.04031999999999999,0.8,0.8721267616307803,0.94,0.84,2.3939812967737173,1.2639361229869972,TRUE,TRUE,-7.284385282968209e-4,0.761281924225055,8.456982688199721e-4,8.456982688199721e-4,8.25342768196623,0
2,0.16,0.048,0.04032,0.8,0.8721267616307803,0.94,0.84,2.3939812967737173,1.2639361229869976,TRUE,TRUE,-7.284385282968209e-4,0.761281924225055,8.456982688199791e-4,8.456982688199791e-4,8.25342768196623,0
2,0.36,0.063,0.04032,0.8,0.8721267616307803,0.94,0.84,2.3939812967737173,1.2639361229869976,TRUE,TRUE,-7.284385282968209e-4,0.761281924225055,8.456982688199791e-4,8.456982688199791e-4,8.25342768196623,0
2,0.28,0.054,0.03888,0.6,0.6593462403315363,0.9399999999999998,0.84,2.3939812967737173,1.1931904367523434,TRUE,TRUE,-0.00107423466809708,0.6624134544731494,9.447830753288138e-4,9.447830753288138e-4,9.485292402728923,0
2,0.2,0.048,0.0384,0.55,0.6061486456817793,0.94,0.84,2.3939812967737173,1.170499708413642,TRUE,TRUE,-0.00128431408821379,0.6353052643518382,0.0010392162391676,0.0010392162391676,9.89002556682719,0
2,0.36,0.06,0.0384,0.55,0.6061486456817793,0.94,0.84,2.3939812967737173,1.170499708413642,TRUE,TRUE,-0.00128431408821379,0.6353052643518382,0.0010392162391676,0.0010392162391676,9.89002556682719,0
2,0.26,0.054,0.03995999999999999,0.75,0.8189296904140723,0.9399999999999998,0.84,2.3939812967737173,1.2458658609556588,TRUE,TRUE,-0.00100739866594928,0.7378137926080247,0.00109871462963045,0.00109871462963045,8.515949918704797,0
2,0.12,0.045,0.03959999999999999,0.7,0.765733762799375,0.94,0.84,2.3939812967737173,1.228053946133442,TRUE,TRUE,-0.00116895797370827,0.7135706347129069,0.00119267818319553,0.00119267818319553,8.805274490741228,0
2,0.34,0.06,0.03959999999999999,0.7,0.765733762799375,0.94,0.84,2.3939812967737173,1.228053946133442,TRUE,TRUE,-0.00116895797370827,0.7135706347129069,0.00119267818319553,0.00119267818319553,8.805274490741228,0
2,0.4,0.066,0.03959999999999999,0.7,0.765733762799375,0.94,0.84,2.3939812967737173,1.228053946133442,TRUE,TRUE,-0.00116895797370827,0.7135706347129069,0.00119267818319553,0.00119267818319553,8.805274490741228,0
2,0.2,0.051,0.0408,0.9,0.97851074183949,0.94,0.84,2.3939812967737173,1.2884381634386253,TRUE,TRUE,-9.720246000617938e-4,0.8061993453433947,0.0012654011719252,0.0012654011719252,7.793587706900593,0
