"run","time_end","e_mean","e_sd","e_amp","omega_mean","omega_sd","omega_amp","d_mean","d_sd","d_amp","u_mean","u_sd","u_amp","xi_mean","xi_sd","xi_amp","gY_mean","period_e","phi1","lambda","lambda_star"
"phi1_0.100_lambda_below_42.00",700,1.33540445443898,0.624601955770449,1.99897937408054,0.927186850786409,0.33920379868849,1.02293891318378,-2.3337163717086,2.92742050240745,8.38328581110695,1.34005939313249,0.736946167116383,2.17475108323559,2032632950394.27,1567857909610.41,28.1265671345481,0.032409707807467,NA,0.1,41.9999999999999,59.9999999999998
"phi1_0.100_lambda_near_58.80",700,0.800260289855414,0.0186748063373427,0.0517748102660027,0.839968206869109,0.00857174540221361,0.023930224305369,1.00001616352389,0.00110757016665543,0.00303959671943677,1.00107902040441,0.0304482312021618,0.0849634087806361,3.99946818575098,0.0904041426782113,0.0630743930073185,0.0300152210752575,34.6999999999999,0.1,58.7999999999998,59.9999999999998
"phi1_0.100_lambda_above_72.00",700,0.800045384645387,0.0014832703019869,0.00448207898288322,0.839953484811143,0.000623930780869056,0.00190492739009684,1.00002417256781,0.000610620815694258,0.00184939870205791,1.00020274575162,0.00256080457432599,0.007821523190779,3.99934116081602,0.00826707322996342,0.00632297676731275,0.0300273279368453,31.4,0.1,71.9999999999998,59.9999999999998
