"time","e","omega","d","u","r","kappa","gK","gY","Delta","u_d","gU","rho","chiA","chiN","xi"
0,0.81,0.83,1.05,0.95,0.0426666666666667,0.158391230200672,0.0327970767335573,0.0327970767335573,0.559879040069598,1.02522144770529,0.158360942537447,3.15789473684211,4.2078947368421,-1.05,4.00751879699248
0.05,0.810113052230313,0.83004173578507,1.04979814889808,0.95715329696431,0.0426554460863355,0.15835599551889,0.03278533183963,0.03278533183963,0.559938179283157,1.02511316648357,0.142004148624462,3.13429417159691,4.18409232049499,-1.04979814889808,3.98561602045766
0.1,0.81022564079776,0.830083941905612,1.04959716988642,0.963615798009333,0.0426440570996436,0.158320231064303,0.0327734103547676,0.0327734103547676,0.559998120660562,1.02500343987391,0.127411032470391,3.11327398969329,4.16287115957971,-1.04959716988642,3.96616080817958
0.15,0.81033775857627,0.830126616550163,1.04939706913278,0.969451433982458,0.0426325002281754,0.15828393843676,0.0327613128122532,0.0327613128122532,0.560058861565406,1.02489227363643,0.114375692707419,3.09453356283785,4.14393063197063,-1.04939706913278,3.94886812042955
0.2,0.810449398027584,0.830169757766549,1.04919785313671,0.97472170738961,0.0426207760359942,0.158247119369436,0.032749039789812,0.032749039789812,0.560120399147045,1.02477967393098,0.102712325296273,3.07780156864903,4.12699942178574,-1.04919785313671,3.93348061993031
0.25,0.810560551911497,0.830213363642294,1.04899952811451,0.979479654482073,0.0426088850777085,0.158209775565767,0.0327365918552555,0.0327365918552555,0.560182730607238,1.02466564682882,0.0922653005398889,3.06285075577842,4.11185028389293,-1.04899952811451,3.91978277748479
0.3,0.81067121294522,0.830257432220643,1.048802100296,0.983774079272172,0.0425968279225056,0.158171908774941,0.0327239695916471,0.0327239695916471,0.560245853076444,1.02455019853878,0.0828973239400193,3.04948063097932,4.09828273127532,-1.048802100296,3.90758440521683
0.35,0.810781373867848,0.830301961513524,1.04860557586656,0.987648882273786,0.0425846051506044,0.158133520780788,0.0327111735935962,0.0327111735935962,0.560309763632374,1.02443333537305,0.0744889277140293,3.03751672668665,4.08612230255321,-1.04860557586656,3.89671998375221
0.4,0.810891027440366,0.830346949502432,1.04840996096783,0.991143695172113,0.0425722173529517,0.158094613400846,0.0326982044669486,0.0326982044669486,0.560374459301425,1.02431506374427,0.0669355386786693,3.02680631941976,4.07521628038758,-1.04840996096783,3.88704460288187
0.45,0.811000166444821,0.830392394140408,1.0482152617001,0.994294596866781,0.0425596651305293,0.158055188484205,0.0326850628280684,0.0326850628280684,0.560439937061982,1.02419539015921,0.0601447365532346,3.01721442463189,4.06542968633198,-1.0482152617001,3.87843016112767
0.5,0.811108783685769,0.830438293350731,1.04802148412003,0.997134195902958,0.0425469490948226,0.158015247913009,0.0326717493043364,0.0326717493043364,0.56050619384216,1.02407432122265,0.0540351046637085,3.00862212160254,4.05664360572257,-1.04802148412003,3.87076378413055
0.55,0.811216871990751,0.830484645027018,1.04782863424038,0.999691977203927,0.042534069867789,0.157974793602372,0.0326582645341242,0.0326582645341242,0.560573226519942,1.02395186363682,0.0485347226667703,3.00092435311005,4.04875298735043,-1.04782863424038,3.86394573983519
0.6,0.811324424210751,0.830531447033407,1.04763671802974,1.00199462705633,0.0425210280818012,0.15793382750023,0.0326446091667432,0.0326446091667432,0.560641031923434,1.02382802420068,0.0435798687034665,2.99402803068258,4.04166474871232,-1.04763671802974,3.85788764287812
0.65,0.811431433220707,0.830578697204635,1.04744574141226,1.0040663009614,0.0425078243796249,0.157892351587287,0.0326307838624291,0.0326307838624291,0.560709606830959,1.02370280980944,0.0391139685282564,2.98785050063674,4.035296242049,-1.04744574141226,3.85251100129374
0.7,0.811537891919997,0.830626393346115,1.04725571026731,1.00592884898821,0.0424944594143977,0.157850367876981,0.0326167892923269,0.0326167892923269,0.56077894797114,1.02357622745414,0.035086732990467,2.98231828525196,4.02957399551927,-1.04725571026731,3.8477460242167
0.75,0.81164379323295,0.830674533234017,1.04706663042914,1.00760204034698,0.0424809338496058,0.157807878415424,0.0326026261384745,0.0326026261384745,0.560849052023,1.02344828422115,0.031453377900505,2.97736594396625,4.02443257439539,-1.04706663042914,3.84353054279457
0.8,0.811749130109363,0.830723114615357,1.04687850768658,1.00910376560609,0.0424672483590599,0.157764885281358,0.0325882950937858,0.0325882950937858,0.56091991561606,1.02331898729175,0.0281739542952088,2.97293509572637,4.01981360341295,-1.04687850768658,3.8398090837647
0.85,0.811853895525003,0.83077213520808,1.04669134778267,1.01045021342098,0.042453403626871,0.157721390586097,0.0325737968620323,0.0325737968620323,0.56099153533044,1.02318834394158,0.025212782087457,2.96897359231901,4.01566494010168,-1.04669134778267,3.83653208618618
0.9,0.811958082482115,0.830821592701148,1.04650515641442,1.01165603260792,0.042439400347425,0.157677396473474,0.0325591321578245,0.0325591321578245,0.561063907696967,1.02305636154023,0.0225379547293651,2.96543479532898,4.0119399517434,-1.04650515641442,3.83365521627173
0.95,0.81206168400993,0.830871484754632,1.04631993923241,1.01273447869425,0.0424252392253573,0.15763290511978,0.0325443017065935,0.0325443017065935,0.56113702919728,1.02292304755065,0.0201209084330408,2.96227694732777,4.00859688656018,-1.04631993923241,3.83113877147456
1,0.812164693165171,0.830921808999801,1.04613570184054,1.01369754647477,0.0424109209755259,0.157587918733709,0.0325293062445697,0.0325293062445697,0.561210896263946,1.02278840952874,0.0179360462804469,2.95946262317868,4.00559832501922,-1.04613570184054,3.82894716046101
1.05,0.812267103032559,0.830972563039219,1.0459524497957,1.01455609001606,0.0423964463229844,0.15754243955629,0.0325141465187632,0.0325141465187632,0.561285505280573,1.02265245512277,0.0159604090624119,2.95695824954589,4.00291069934158,-1.0459524497957,3.82704844768371
1.1,0.812368906725321,0.83102374444684,1.04577018860745,1.01531993121613,0.0423818160029539,0.157496469860823,0.0324988232869411,0.0324988232869411,0.561360852581929,1.02251519207287,0.0141733864085906,2.95473368321121,4.00050387181866,-1.04577018860745,3.82541395365817
1.15,0.812470097385695,0.831075350768107,1.04558892373774,1.01599795803669,0.0423670307607945,0.157450011952818,0.0324833373176061,0.0324833373176061,0.561436934454065,1.02237662821052,0.0125564625861311,2.95276183999148,3.99835076372923,-1.04558892373774,3.82401790316985
1.2,0.812570668185437,0.831127379520048,1.04540866060062,1.01659821338804,0.0423520913519758,0.157403068169917,0.0324676893899725,0.0324676893899725,0.561513747134442,1.02223677145801,0.0110929922868511,2.95101836742546,3.99642702802608,-1.04540866060062,3.82283711494221
