time,e,omega,d,r,kappa,g,f,Z,scenario_id,rF_eff,psi,rF,phi2,phi1,e_star,omega_star,d_star,bad
0,0.9493999999999998,0.8316,2.4179211097414544,0.047931183353878186,0.17297003471441014,0.036485017357205066,1.0739265303596106,0.9994242368210676,S04,0.038,0.2,0.047499999999999994,0.7,0.765630184745703,0.9399999999999998,0.84,2.3939812967737173,FALSE
0.1,0.9499919818674316,0.8322251016325627,2.416852176410616,0.04763466653755942,0.17196386008214862,0.035981930041074306,1.0800169566379587,0.999438504792024,S04,0.038,0.2,0.047499999999999994,0.7,0.765630184745703,0.9399999999999998,0.84,2.3939812967737173,FALSE
0.2,0.950534976222835,0.8328859988129407,2.4158698042527322,0.04731895352973868,0.17089316832841392,0.03544658416420696,1.0864933512307964,0.9994537108894181,S04,0.038,0.2,0.047499999999999994,0.7,0.765630184745703,0.9399999999999998,0.84,2.3939812967737173,FALSE
0.30000000000000004,0.95102596004164,0.8335795041440104,2.414978543306201,0.04698556977840179,0.16976333669634572,0.034881668348172856,1.0933215495051731,0.9994696805113255,S04,0.038,0.2,0.047499999999999994,0.7,0.765630184745703,0.9399999999999998,0.84,2.3939812967737173,FALSE
0.4,0.9514625025255213,0.8343026835173818,2.414182022746955,0.04663592790010478,0.168579382583457,0.0342896912917285,1.1004693068286886,0.9994862483248717,S04,0.038,0.2,0.047499999999999994,0.7,0.765630184745703,0.9399999999999998,0.84,2.3939812967737173,FALSE
0.5,0.951841628802837,0.8350514646902938,2.413484650843834,0.0462719978921956,0.16734822872433658,0.033674114362168286,1.1078926348042701,0.9995032299533416,S04,0.038,0.2,0.047499999999999994,0.7,0.765630184745703,0.9399999999999998,0.84,2.3939812967737173,FALSE
0.6000000000000001,0.9521612908649443,0.8358222866674743,2.4128894141315356,0.04589551545428983,0.16607601510221037,0.033038007551105184,1.1155520672313552,0.9995204618285355,S04,0.038,0.2,0.047499999999999994,0.7,0.765630184745703,0.9399999999999998,0.84,2.3939812967737173,FALSE
0.7000000000000001,0.9524196264148118,0.836611327525106,2.4123990020910093,0.04550835120608185,0.16476934235971816,0.032384671179859076,1.1234051913379128,0.9995377863314082,S04,0.038,0.2,0.047499999999999994,0.7,0.765630184745703,0.9399999999999998,0.84,2.3939812967737173,FALSE
0.8,0.9526150858398447,0.8374146612361061,2.412015619700794,0.045112435086435046,0.16343500696380608,0.03171750348190304,1.1314083067636886,0.9995550571336232,S04,0.038,0.2,0.047499999999999994,0.7,0.765630184745703,0.9399999999999998,0.84,2.3939812967737173,FALSE
0.9,0.9527465030009549,0.8382282504319055,2.4117408825345406,0.04470976154602913,0.16208000874275227,0.031040004371376134,1.1395164586889757,0.9995721400594384,S04,0.038,0.2,0.047499999999999994,0.7,0.765630184745703,0.9399999999999998,0.84,2.3939812967737173,FALSE
1,0.9528130337598426,0.8390479962355015,2.4115759152758955,0.044302363153110806,0.1607114512583622,0.030355725629181096,1.1476841302320464,0.9995889153471661,S04,0.038,0.2,0.047499999999999994,0.7,0.765630184745703,0.9399999999999998,0.84,2.3939812967737173,FALSE
1.1,0.9528141874949084,0.8398697468937438,2.4115213043947143,0.04389230698720737,0.15933651882495953,0.02966825941247976,1.155865488560394,0.9996052779709542,S04,0.038,0.2,0.047499999999999994,0.7,0.765630184745703,0.9399999999999998,0.84,2.3939812967737173,FALSE
1.2000000000000002,0.9527498319888503,0.8406893195803746,2.411577091015947,0.04348168384457348,0.15796242946219455,0.02898121473109727,1.1640147871133277,0.9996211379201471,S04,0.038,0.2,0.047499999999999994,0.7,0.765630184745703,0.9399999999999998,0.84,2.3939812967737173,FALSE
1.3,0.9526201924139188,0.8415025222178617,2.411742771294254,0.04307259732165534,0.1565963881127863,0.028298194056393153,1.172086773665977,0.9996364200611457,S04,0.038,0.2,0.047499999999999994,0.7,0.765630184745703,0.9399999999999998,0.84,2.3939812967737173,FALSE
1.4000000000000001,0.9524258491367504,0.8423051779709596,2.4120172971743417,0.04266715155690507,0.15524553653393666,0.02762276826696833,1.1800371202992854,0.9996510636688332,S04,0.038,0.2,0.047499999999999994,0.7,0.765630184745703,0.9399999999999998,0.84,2.3939812967737173,FALSE
1.5,0.952167732940093,0.8430931461967802,2.4123990800074417,0.042267440701498266,0.1539169105709516,0.026958455285475802,1.1878228059463363,0.9996650215860886,S04,0.038,0.2,0.047499999999999994,0.7,0.765630184745703,0.9399999999999998,0.84,2.3939812967737173,FALSE
1.6,0.9518471180060285,0.8438623447094369,2.4128859963663003,0.04187553769978705,0.15261739710528086,0.026308698552640425,1.1954024907297458,0.999678259175081,S04,0.038,0.2,0.047499999999999994,0.7,0.765630184745703,0.9399999999999998,0.84,2.3939812967737173,FALSE
1.7000000000000002,0.9514656126028561,0.8446087727952055,2.4134753963945514,0.04149348265647897,0.1513536919616298,0.02567684598081489,1.2027368671998897,0.999690753112893,S04,0.038,0.2,0.047499999999999994,0.7,0.765630184745703,0.9399999999999998,0.84,2.3939812967737173,FALSE
1.8,0.9510251475001895,0.8453285331305567,2.4141641149160815,0.041123271710980444,0.1501322620840062,0.0250661310420031,1.2097889620111641,0.9997024900650767,S04,0.038,0.2,0.047499999999999994,0.7,0.765630184745703,0.9399999999999998,0.84,2.3939812967737173,FALSE
1.9000000000000001,0.9505279624437618,0.8460178533095745,2.4149484849975367,0.04076684607024972,0.1489593109637595,0.024479655481879747,1.2165243874731932,0.9997134653074183,S04,0.038,0.2,0.047499999999999994,0.7,0.765630184745703,0.9399999999999998,0.84,2.3939812967737173,FALSE
2,0.9499765908577913,0.8466731067471768,2.41582435397809,0.04042608131674026,0.14784074774729317,0.02392037387364658,1.2229115347821555,0.9997236813421042,S04,0.038,0.2,0.047499999999999994,0.7,0.765630184745703,0.9399999999999998,0.84,2.3939812967737173,FALSE
2.1,0.9493738430153124,0.8472908328015847,2.416787101868297,0.040102777071183204,0.14678216021630477,0.023391080108152384,1.2289217034777005,0.9997331465471015,S04,0.038,0.2,0.047499999999999994,0.7,0.765630184745703,0.9399999999999998,0.84,2.3939812967737173,FALSE
2.2,0.9487227879066896,0.8478677559650942,2.4178316620376195,0.03979864708688859,0.14578879171321055,0.02289439585660527,1.2345291641478984,0.999741873889056,S04,0.038,0.2,0.047499999999999994,0.7,0.765630184745703,0.9399999999999998,0.84,2.3939812967737173,FALSE
2.3000000000000003,0.9480267340447703,0.848400803999059,2.4189525440889654,0.039515309839136,0.1448655219386183,0.022432760969309143,1.239711154359756,0.9997498797220019,S04,0.038,0.2,0.047499999999999994,0.7,0.765630184745703,0.9399999999999998,0.84,2.3939812967737173,FALSE
2.4000000000000004,0.9472892094371265,0.8488871248972253,2.4201438588140043,0.03925427966917729,0.14401685144363202,0.022008425721816008,1.2444478107305974,0.9997571826867089,S04,0.038,0.2,0.047499999999999994,0.7,0.765630184745703,0.9399999999999998,0.84,2.3939812967737173,FALSE
2.5,0.9465139409447985,0.8493241025758896,2.42139934511525,0.03901695853532643,0.14324688954130796,0.021623444770653977,1.2487220430481238,0.9997638027190705,S04,0.038,0.2,0.047499999999999994,0.7,0.765630184745703,0.9399999999999998,0.84,2.3939812967737173,FALSE
2.6,0.9457048332296184,0.8497093712032652,2.4227123987765053,0.03880462841671983,0.1425593452819671,0.021279672640983543,1.2525193591625237,0.9997697601706558,S04,0.038,0.2,0.047499999999999994,0.7,0.765630184745703,0.9399999999999998,0.84,2.3939812967737173,FALSE
2.7,0.9448659474710169,0.8500408280945773,2.4240761029597113,0.0386184444083157,0.14195752107719367,0.020978760538596833,1.2558276518449347,0.9997750750404013,S04,0.038,0.2,0.047499999999999994,0.7,0.765630184745703,0.9399999999999998,0.84,2.3939812967737173,FALSE
2.8000000000000003,0.9440014800088914,0.8503166451131496,2.4254832603039866,0.03845942853886538,0.14144430851903578,0.020722154259517886,1.2586369607651566,0.999779766313344,S04,0.038,0.2,0.047499999999999994,0.7,0.765630184745703,0.9399999999999998,0.84,2.3939812967737173,FALSE
2.9000000000000004,0.9431157410429744,0.8505352785308714,2.4269264265011623,0.03832846433704686,0.14102218592444518,0.020511092962222588,1.2609392240470643,0.9997838514001837,S04,0.038,0.2,0.047499999999999994,0.7,0.765630184745703,0.9399999999999998,0.84,2.3939812967737173,FALSE
3,0.9422131334923114,0.850695477313704,2.4283979452211146,0.03822629216483129,0.14069321713987332,0.020346608569936656,1.2627280344068879,0.9997873456701508,S04,0.038,0.2,0.047499999999999994,0.7,0.765630184745703,0.9399999999999998,0.84,2.3939812967737173,FALSE
3.1,0.9412981320920728,0.850796289809133,2.4298899842593054,0.03815350533154391,0.1404590511658967,0.02022952558294834,1.2639984146066412,0.9997902620690122,S04,0.038,0.2,0.047499999999999994,0.7,0.765630184745703,0.9399999999999998,0.84,2.3939812967737173,FALSE
3.2,0.9403752627799783,0.8508370688226116,2.4313945727777706,0.03811054699702766,0.1403209222048296,0.020160461102414803,1.2647466258535307,0.9997926108139028,S04,0.038,0.2,0.047499999999999994,0.7,0.765630184745703,0.9399999999999998,0.84,2.3939812967737173,FALSE
3.3000000000000003,0.9394490824020223,0.8508174750790439,2.4329036395090413,0.03809770786784242,0.14027964979310648,0.020139824896553235,1.2649700208907186,0.9997943991569554,S04,0.038,0.2,0.047499999999999994,0.7,0.765630184745703,0.9399999999999998,0.84,2.3939812967737173,FALSE
3.4000000000000004,0.9385241587476458,0.850737479073283,2.4344090517897756,0.03811512468651186,0.1403356387519797,0.020167819375989854,1.2646669509529913,0.9997956312102645,S04,0.038,0.2,0.047499999999999994,0.7,0.765630184745703,0.9399999999999998,0.84,2.3939812967737173,FALSE
3.5,0.9376050509086374,0.8505973613205188,2.435902655287016,0.03816277951043537,0.14048887877182462,0.020244439385912305,1.2638367326463682,0.9997963078255674,S04,0.038,0.2,0.047499999999999994,0.7,0.765630184745703,0.9399999999999998,0.84,2.3939812967737173,FALSE
3.6,0.936696289944226,0.8503977110234748,2.4373763142746805,0.03824049977414238,0.1407389435338828,0.0203694717669414,1.2624796773350166,0.9997964265230688,S04,0.038,0.2,0.047499999999999994,0.7,0.765630184745703,0.9399999999999998,0.84,2.3939812967737173,FALSE
3.7,0.9358023598273426,0.8501394231786358,2.4388219523110695,0.038347959126016073,0.14108498936543404,0.020542494682717016,1.2605971819879218,0.9997959814650899,S04,0.038,0.2,0.047499999999999994,0.7,0.765630184745703,0.9399999999999998,0.84,2.3939812967737173,FALSE
3.8000000000000003,0.9349276786439357,0.8498236941484766,2.440231593159754,0.0384846790283654,0.14152575351689994,0.02076287675844997,1.2581918768680258,0.9997949634716632,S04,0.038,0.2,0.047499999999999994,0.7,0.765630184745703,0.9399999999999998,0.84,2.3939812967737173,FALSE
3.9000000000000004,0.9340765800184907,0.8494520157310411,2.4415974017862094,0.0386500311076863,0.14205955223901265,0.02102977611950632,1.2552678221495384,0.9997933600768242,S04,0.038,0.2,0.047499999999999994,0.7,0.765630184745703,0.9399999999999998,0.84,2.3939812967737173,FALSE
4,0.9332532947442875,0.8490261677623689,2.442911725251143,0.03884324024004838,0.1426842789217711,0.021342139460885548,1.2518307427163353,0.9997911556261345,S04,0.038,0.2,0.047499999999999994,0.7,0.765630184745703,0.9399999999999998,0.84,2.3939812967737173,FALSE
4.1000000000000005,0.932461932606121,0.8485482092913819,2.444167133308894,0.03906338835467566,0.1433974026313074,0.0216987013156537,1.2478882881851001,0.9997883314178933,S04,0.038,0.2,0.047499999999999994,0.7,0.765630184745703,0.9399999999999998,0.84,2.3939812967737173,FALSE
4.2,0.9317064643957002,0.8480204683710394,2.445356458505845,0.039309418936892625,0.14419596744305968,0.022097983721529837,1.2434503037268887,0.9997848658924867,S04,0.038,0.2,0.047499999999999994,0.7,0.765630184745703,0.9399999999999998,0.84,2.3939812967737173,FALSE
4.3,0.9309907041351753,0.8474455305139632,2.446472835560019,0.03958014220961811,0.14507659301703435,0.022538296508517172,1.2385290965961813,0.9997807348763226,S04,0.038,0.2,0.047499999999999994,0.7,0.765630184745703,0.9399999999999998,0.84,2.3939812967737173,FALSE
4.4,0.9303182915415116,0.8468262258654208,2.4475097397894494,0.03987424097044787,0.1460354768909562,0.023017738445478095,1.233139683431053,0.9997759118886754,S04,0.038,0.2,0.047499999999999994,0.7,0.765630184745703,0.9399999999999998,0.84,2.3939812967737173,FALSE
