try_id,cand_id,sigma,g_n,i,delta,kappa_max,psi,phi2,rF,omega_star,d_star,lambda_star,f_star,Z_star,stable,RH_ok,has_complex,has_hopf,n_roots,rF_root_med,score
516,7,2.5,0.07,0.035,0.06,0.45,5,2.5,0.12,0.6753334150289537,0.00952614368439154,0.5121641842485012,1.9457580726327095,0.411510083204825,FALSE,FALSE,FALSE,TRUE,13,0.09096359743809344,12.564819925520135
516,7,2.5,0.07,0.035,0.06,0.45,5,3,0.12,0.6753334150289537,0.00952614368439154,0.5121641842485012,1.9457580726327095,0.411510083204825,FALSE,FALSE,FALSE,TRUE,13,0.09096359743809344,12.564819925520135
573,15,2.5,0.08,0.04,0.05,0.45,5,1,0.12,0.6753334150289537,0.0083353757238426,0.5121641842485012,1.7025383135536212,0.090051155009623,FALSE,FALSE,FALSE,TRUE,13,0.0905144849205961,12.565493594296381
573,15,2.5,0.08,0.04,0.05,0.45,5,1.5,0.12,0.6753334150289537,0.0083353757238426,0.5121641842485012,1.7025383135536212,0.090051155009623,FALSE,FALSE,FALSE,TRUE,13,0.0905144849205961,12.565493594296381
573,15,2.5,0.08,0.04,0.05,0.45,5,2,0.12,0.6753334150289537,0.0083353757238426,0.5121641842485012,1.7025383135536212,0.090051155009623,FALSE,FALSE,FALSE,TRUE,13,0.0905144849205961,12.565493594296381
573,15,2.5,0.08,0.04,0.05,0.45,5,2.5,0.12,0.6753334150289537,0.0083353757238426,0.5121641842485012,1.7025383135536212,0.090051155009623,FALSE,FALSE,FALSE,TRUE,13,0.0905144849205961,12.565493594296381
573,15,2.5,0.08,0.04,0.05,0.45,5,3,0.12,0.6753334150289537,0.0083353757238426,0.5121641842485012,1.7025383135536212,0.090051155009623,FALSE,FALSE,FALSE,TRUE,13,0.0905144849205961,12.565493594296381
504,6,2.5,0.07,0.03,0.06,0.45,5,0.5,0.12,0.6753810457473757,0.00952614368439154,0.5121641842485012,1.9457580726327095,0.411510083204825,FALSE,FALSE,FALSE,TRUE,13,0.09056202206863284,12.566374902942766
504,6,2.5,0.07,0.03,0.06,0.45,5,1,0.12,0.6753810457473757,0.00952614368439154,0.5121641842485012,1.9457580726327095,0.411510083204825,FALSE,FALSE,FALSE,TRUE,13,0.09056202206863284,12.566374902942766
504,6,2.5,0.07,0.03,0.06,0.45,5,1.5,0.12,0.6753810457473757,0.00952614368439154,0.5121641842485012,1.9457580726327095,0.411510083204825,FALSE,FALSE,FALSE,TRUE,13,0.09056202206863284,12.566374902942766
504,6,2.5,0.07,0.03,0.06,0.45,5,2,0.12,0.6753810457473757,0.00952614368439154,0.5121641842485012,1.9457580726327095,0.411510083204825,FALSE,FALSE,FALSE,TRUE,13,0.09056202206863284,12.566374902942766
504,6,2.5,0.07,0.03,0.06,0.45,5,2.5,0.12,0.6753810457473757,0.00952614368439154,0.5121641842485012,1.9457580726327095,0.411510083204825,FALSE,FALSE,FALSE,TRUE,13,0.09056202206863284,12.566374902942766
504,6,2.5,0.07,0.03,0.06,0.45,5,3,0.12,0.6753810457473757,0.00952614368439154,0.5121641842485012,1.9457580726327095,0.411510083204825,FALSE,FALSE,FALSE,TRUE,13,0.09056202206863284,12.566374902942766
561,13,2.5,0.08,0.035,0.05,0.45,5,1,0.12,0.6753750919075729,0.0083353757238426,0.5121641842485012,1.702538313553621,0.09005115500962285,FALSE,FALSE,FALSE,TRUE,13,0.09027153802886514,12.566691552206361
561,13,2.5,0.08,0.035,0.05,0.45,5,1.5,0.12,0.6753750919075729,0.0083353757238426,0.5121641842485012,1.702538313553621,0.09005115500962285,FALSE,FALSE,FALSE,TRUE,13,0.09027153802886514,12.566691552206361
561,13,2.5,0.08,0.035,0.05,0.45,5,2,0.12,0.6753750919075729,0.0083353757238426,0.5121641842485012,1.702538313553621,0.09005115500962285,FALSE,FALSE,FALSE,TRUE,13,0.09027153802886514,12.566691552206361
561,13,2.5,0.08,0.035,0.05,0.45,5,2.5,0.12,0.6753750919075729,0.0083353757238426,0.5121641842485012,1.702538313553621,0.09005115500962285,FALSE,FALSE,FALSE,TRUE,13,0.09027153802886514,12.566691552206361
561,13,2.5,0.08,0.035,0.05,0.45,5,3,0.12,0.6753750919075729,0.0083353757238426,0.5121641842485012,1.702538313553621,0.09005115500962285,FALSE,FALSE,FALSE,TRUE,13,0.09027153802886514,12.566691552206361
528,8,2.5,0.07,0.04,0.06,0.45,5,0.5,0.095,0.6752857843105318,0.00952614368439154,0.5433077927350514,2.2048327500460445,0.8474670278544465,FALSE,FALSE,FALSE,TRUE,18,0.08818661951878479,12.567905108214518
528,8,2.5,0.07,0.04,0.06,0.45,5,1,0.095,0.6752857843105318,0.00952614368439154,0.5433077927350514,2.2048327500460445,0.8474670278544465,FALSE,FALSE,FALSE,TRUE,18,0.08818661951878479,12.567905108214518
528,8,2.5,0.07,0.04,0.06,0.45,5,1.5,0.095,0.6752857843105318,0.00952614368439154,0.5433077927350514,2.2048327500460445,0.8474670278544465,FALSE,FALSE,FALSE,TRUE,18,0.08818661951878479,12.567905108214518
528,8,2.5,0.07,0.04,0.06,0.45,5,2,0.095,0.6752857843105318,0.00952614368439154,0.5433077927350514,2.2048327500460445,0.8474670278544465,FALSE,FALSE,FALSE,TRUE,18,0.08818661951878479,12.567905108214518
528,8,2.5,0.07,0.04,0.06,0.45,5,2.5,0.095,0.6752857843105318,0.00952614368439154,0.5433077927350514,2.2048327500460445,0.8474670278544465,FALSE,FALSE,FALSE,TRUE,18,0.08818661951878479,12.567905108214518
528,8,2.5,0.07,0.04,0.06,0.45,5,3,0.095,0.6752857843105318,0.00952614368439154,0.5433077927350514,2.2048327500460445,0.8474670278544465,FALSE,FALSE,FALSE,TRUE,18,0.08818661951878479,12.567905108214518
549,11,2.5,0.08,0.03,0.05,0.45,5,1,0.12,0.6754167687861922,0.0083353757238426,0.5121641842485012,1.702538313553621,0.09005115500962285,FALSE,FALSE,FALSE,TRUE,13,0.08999260658842473,12.567943486939408
549,11,2.5,0.08,0.03,0.05,0.45,5,1.5,0.12,0.6754167687861922,0.0083353757238426,0.5121641842485012,1.702538313553621,0.09005115500962285,FALSE,FALSE,FALSE,TRUE,13,0.08999260658842473,12.567943486939408
549,11,2.5,0.08,0.03,0.05,0.45,5,2,0.12,0.6754167687861922,0.0083353757238426,0.5121641842485012,1.702538313553621,0.09005115500962285,FALSE,FALSE,FALSE,TRUE,13,0.08999260658842473,12.567943486939408
549,11,2.5,0.08,0.03,0.05,0.45,5,2.5,0.12,0.6754167687861922,0.0083353757238426,0.5121641842485012,1.702538313553621,0.09005115500962285,FALSE,FALSE,FALSE,TRUE,13,0.08999260658842473,12.567943486939408
549,11,2.5,0.08,0.03,0.05,0.45,5,3,0.12,0.6754167687861922,0.0083353757238426,0.5121641842485012,1.702538313553621,0.09005115500962285,FALSE,FALSE,FALSE,TRUE,13,0.08999260658842473,12.567943486939408
528,8,2.5,0.07,0.04,0.06,0.45,5,0.5,0.1075,0.6752857843105318,0.00952614368439154,0.5277629996994208,2.0712486867122135,0.6561533250472487,FALSE,FALSE,FALSE,TRUE,18,0.0881866216841585,12.568001353323702
528,8,2.5,0.07,0.04,0.06,0.45,5,1,0.1075,0.6752857843105318,0.00952614368439154,0.5277629996994208,2.0712486867122135,0.6561533250472487,FALSE,FALSE,FALSE,TRUE,18,0.0881866216841585,12.568001353323702
528,8,2.5,0.07,0.04,0.06,0.45,5,1.5,0.1075,0.6752857843105318,0.00952614368439154,0.5277629996994208,2.0712486867122135,0.6561533250472487,FALSE,FALSE,FALSE,TRUE,18,0.0881866216841585,12.568001353323702
528,8,2.5,0.07,0.04,0.06,0.45,5,2,0.1075,0.6752857843105318,0.00952614368439154,0.5277629996994208,2.0712486867122135,0.6561533250472487,FALSE,FALSE,FALSE,TRUE,18,0.0881866216841585,12.568001353323702
528,8,2.5,0.07,0.04,0.06,0.45,5,2.5,0.1075,0.6752857843105318,0.00952614368439154,0.5277629996994208,2.0712486867122135,0.6561533250472487,FALSE,FALSE,FALSE,TRUE,18,0.0881866216841585,12.568001353323702
528,8,2.5,0.07,0.04,0.06,0.45,5,3,0.1075,0.6752857843105318,0.00952614368439154,0.5277629996994208,2.0712486867122135,0.6561533250472487,FALSE,FALSE,FALSE,TRUE,18,0.0881866216841585,12.568001353323702
492,5,2.5,0.07,0.025,0.06,0.45,5,0.5,0.12,0.6754286764657976,0.00952614368439154,0.5121641842485012,1.9457580726327095,0.411510083204825,FALSE,FALSE,FALSE,TRUE,13,0.09009031401703732,12.568035079388597
492,5,2.5,0.07,0.025,0.06,0.45,5,1,0.12,0.6754286764657976,0.00952614368439154,0.5121641842485012,1.9457580726327095,0.411510083204825,FALSE,FALSE,FALSE,TRUE,13,0.09009031401703732,12.568035079388597
492,5,2.5,0.07,0.025,0.06,0.45,5,1.5,0.12,0.6754286764657976,0.00952614368439154,0.5121641842485012,1.9457580726327095,0.411510083204825,FALSE,FALSE,FALSE,TRUE,13,0.09009031401703732,12.568035079388597
492,5,2.5,0.07,0.025,0.06,0.45,5,2,0.12,0.6754286764657976,0.00952614368439154,0.5121641842485012,1.9457580726327095,0.411510083204825,FALSE,FALSE,FALSE,TRUE,13,0.09009031401703732,12.568035079388597
492,5,2.5,0.07,0.025,0.06,0.45,5,2.5,0.12,0.6754286764657976,0.00952614368439154,0.5121641842485012,1.9457580726327095,0.411510083204825,FALSE,FALSE,FALSE,TRUE,13,0.09009031401703732,12.568035079388597
