r0,lambda,ok,reason,a1,a2,a3,H,feasible_RH,hopf_band
0.01,5,TRUE,NA,-0.011666666666666657,0.0027,8.099999999999999e-5,-1.1249999999999997e-4,FALSE,FALSE
0.01,6.043165467625899,TRUE,NA,-0.012014388489208622,0.0032633093525179856,9.789928057553957e-5,-1.371059468971585e-4,FALSE,FALSE
0.01,7.086330935251798,TRUE,NA,-0.012362110311750586,0.003826618705035971,1.1479856115107906e-4,-1.6210364370374192e-4,FALSE,FALSE
0.01,8.129496402877699,TRUE,NA,-0.012709832134292557,0.004389928057553958,1.3169784172661878e-4,-1.8749309041975057e-4,FALSE,FALSE
0.01,9.172661870503596,TRUE,NA,-0.013057553956834524,0.004953237410071943,1.4859712230215824e-4,-2.1327428704518393e-4,FALSE,FALSE
0.01,10.215827338129497,TRUE,NA,-0.013405275779376488,0.005516546762589929,1.6549640287769776e-4,-2.394472335800423e-4,FALSE,FALSE
0.01,11.258992805755396,TRUE,NA,-0.013752997601918455,0.006079856115107914,1.8239568345323757e-4,-2.6601193002432597e-4,FALSE,FALSE
0.01,12.302158273381295,TRUE,NA,-0.014100719424460423,0.006643165467625899,1.9929496402877676e-4,-2.92968376378034e-4,FALSE,FALSE
0.01,13.345323741007194,TRUE,NA,-0.01444844124700239,0.007206474820143885,2.1619424460431674e-4,-3.203165726411678e-4,FALSE,FALSE
0.01,14.388489208633093,TRUE,NA,-0.014796163069544356,0.007769784172661871,2.330935251798559e-4,-3.480565188137257e-4,FALSE,FALSE
0.01,15.431654676258992,TRUE,NA,-0.015143884892086321,0.008333093525179856,2.499928057553955e-4,-3.7618821489570904e-4,FALSE,FALSE
0.01,16.47482014388489,TRUE,NA,-0.015491606714628289,0.008896402877697843,2.668920863309352e-4,-4.0471166088711753e-4,FALSE,FALSE
0.01,17.51798561151079,TRUE,NA,-0.015839328537170252,0.009459712230215828,0.00028379136690647486,-4.3362685678795086e-4,FALSE,FALSE
0.01,18.561151079136692,TRUE,NA,-0.01618705035971222,0.010023021582733814,3.006906474820147e-4,-4.6293380259820947e-4,FALSE,FALSE
0.01,19.60431654676259,TRUE,NA,-0.01653477218225419,0.010586330935251798,3.175899280575537e-4,-4.926324983178922e-4,FALSE,FALSE
0.01,20.647482014388487,TRUE,NA,-0.016882494004796158,0.01114964028776978,3.3448920863309343e-4,-5.227229439470004e-4,FALSE,FALSE
0.01,21.690647482014388,TRUE,NA,-0.017230215827338125,0.011712949640287768,3.5138848920863297e-4,-5.532051394855337e-4,FALSE,FALSE
0.01,22.73381294964029,TRUE,NA,-0.017577937649880096,0.012276258992805754,3.682877697841725e-4,-5.840790849334919e-4,FALSE,FALSE
0.01,23.776978417266186,TRUE,NA,-0.017925659472422056,0.01283956834532374,3.8518705035971217e-4,-6.15344780290875e-4,FALSE,FALSE
0.01,24.820143884892087,TRUE,NA,-0.018273381294964024,0.013402877697841724,4.020863309352517e-4,-6.470022255576831e-4,FALSE,FALSE
0.01,25.863309352517984,TRUE,NA,-0.01862110311750599,0.01396618705035971,4.189856115107912e-4,-6.790514207339162e-4,FALSE,FALSE
0.01,26.906474820143885,TRUE,NA,-0.01896882494004796,0.014529496402877696,4.358848920863308e-4,-7.114923658195743e-4,FALSE,FALSE
0.01,27.949640287769782,TRUE,NA,-0.019316546762589926,0.015092805755395679,4.527841726618702e-4,-7.443250608146572e-4,FALSE,FALSE
