n_ok,n_feasible,feasible_share,hopf_band_share,share_H_pos,share_H_neg,H_min,H_max,H_med,H_q05,H_q95,sd_H,sign_change,has_robust_sign_change,degeneracy_flag,p1,p2
4960,4588,0.925,0.5540540540540541,0.6756756756756757,0.32432432432432434,-3.358190460930408e-4,0.005039999999999998,7.1325823853015e-4,-3.3269646958286603e-4,0.004557952251241784,0.0016344761563173915,TRUE,TRUE,FALSE,phi1,lambda
6400,5633,0.88015625,0.5675483756435292,0.6974968933072963,0.2845730516598615,-6.465351147080333e-4,0.01169999999999999,6.236733164374615e-4,-3.823879949968665e-4,0.007113704316250322,0.002428996622546735,TRUE,TRUE,FALSE,i,lambda
3680,2127,0.5779891304347826,0.5933239304184297,0.5115185707569346,0.48848142924306537,-0.002300652139080277,0.009294818138118891,3.830269927066702e-5,-0.001269806444346034,0.005385665615856695,0.002051001386581752,TRUE,TRUE,FALSE,r0,lambda
4760,4760,1,1,0,1,-5.226666666666667e-4,-1.1199999999999992e-4,-2.835443037974681e-4,-4.966751054852317e-4,-1.2759493670886051e-4,1.1777320680531925e-4,FALSE,FALSE,TRUE,phi0,phi1
4960,2232,0.45,1,0,0.9722222222222222,-3.291068026847552e-4,3.2526065174565133e-19,-1.689116772596984e-4,-3.2018800405917835e-4,-9.887304384981286e-6,9.771321289207703e-5,FALSE,FALSE,TRUE,phi1,i
