run,lambda_star,lambda,lambda_rel,cycle_flag,regime2,e_amp,omega_amp,d_amp,u_amp,xi_amp,period_e,sim_exists
phi1_0.100_lambda_below_42.00,59.9999999999998,41.9999999999999,0.7,FALSE,Blow-up / out-of-domain,1.99897937408054,1.02293891318378,8.38328581110695,2.17475108323559,28.1265671345481,NA,TRUE
phi1_0.100_lambda_near_58.80,59.9999999999998,58.7999999999998,0.98,TRUE,Cycle / sustained (nontrivial amp),0.05177481026600269,0.023930224305369,0.00303959671943677,0.0849634087806361,0.0630743930073185,34.6999999999999,TRUE
phi1_0.100_lambda_above_72.00,59.9999999999998,71.9999999999998,1.2,TRUE,Convergent / damped (tiny amp),0.00448207898288322,0.00190492739009684,0.00184939870205791,0.007821523190779,0.00632297676731275,31.4,TRUE
