run,time_end,e_mean,e_sd,e_amp,omega_mean,omega_sd,omega_amp,d_mean,d_sd,d_amp,u_mean,u_sd,u_amp,xi_mean,xi_sd,xi_amp,gY_mean,period_e,phi1,lambda,lambda_star,lambda_rel,cycle_flag,sim_file,sim_exists,regime2
phi1_0.100_lambda_below_42.00,700,1.3354044544389765,0.624601955770449,1.99897937408054,0.9271868507864094,0.3392037986884896,1.0229389131837785,-2.333716371708596,2.9274205024074536,8.383285811106955,1.340059393132489,0.7369461671163829,2.174751083235586,2032632950394.266,1567857909610.4146,28.126567134548058,0.03240970780746703,NA,0.1,41.999999999999886,59.99999999999984,0.7,FALSE,outputs/wealth_goodwin/grid_search/scenario_sim_phi1_0.100_lambda_below_42.00.csv,TRUE,Blow-up / out-of-domain
phi1_0.100_lambda_near_58.80,700,0.800260289855414,0.01867480633734267,0.05177481026600272,0.8399682068691094,0.00857174540221361,0.02393022430536895,1.0000161635238904,0.00110757016665542,0.00303959671943676,1.001079020404413,0.03044823120216175,0.08496340878063613,3.9994681857509753,0.09040414267821126,0.06307439300731854,0.03001522107525745,34.69999999999993,0.1,58.79999999999985,59.99999999999984,0.98,TRUE,outputs/wealth_goodwin/grid_search/scenario_sim_phi1_0.100_lambda_near_58.80.csv,TRUE,Cycle / sustained (nontrivial amp)
phi1_0.100_lambda_above_72.00,700,0.8000453846453867,0.00148327030198689,0.00448207898288322,0.8399534848111425,6.239307808690561e-4,0.00190492739009684,1.0000241725678107,6.106208156942577e-4,0.00184939870205791,1.0002027457516165,0.00256080457432598,0.007821523190779,3.9993411608160185,0.00826707322996342,0.00632297676731274,0.0300273279368453,31.399999999999977,0.1,71.99999999999982,59.99999999999984,1.2,TRUE,outputs/wealth_goodwin/grid_search/scenario_sim_phi1_0.100_lambda_above_72.00.csv,TRUE,Convergent / damped (tiny amp)
