plane,note,n_ok,n_feasible,H_min,H_q05,H_med,H_q95,H_max,share_absH_lt_1e6,share_absH_lt_1e4,share_absH_lt_1e3,share_absH_lt_1e2
hopf_plane_phi1_i,OK,15120,6804,-3.312200311693e-4,-3.1600756804628e-4,-1.700312268171e-4,-1.68410882804547e-5,2.7105054312137596e-19,0.015873015873015872,0.30158730158730157,1,1
hopf_plane_phi1_lambda,OK,15120,14040,-3.3599951693321e-4,-3.3225913082483e-4,7.015793868502299e-4,0.00449381957455618,0.00504,0,0.06153846153846154,0.5538461538461539,1
