sigma,psi,rF,rF_tilde,rF_eff,phi2,phi1,feasible,reason,r_star,d_star,omega_star,e_star,f_star,Z_star,maxReEig,maxImEig,a1,a2,a3,H
2,0,0.036,-0,0.036,0.75,0.8186030946266993,TRUE,OK,0.04409028054839424,2.3939812967737173,0.84,0.94,1.063356865912706,0.9993158785987964,-0.025436295354344163,0.738396165824473,0.080649100844081,0.5473907110384871,0.01625427935315417,0.027892289302501982
2,0,0.036,-0,0.036,0.8,0.8717581945521673,TRUE,OK,0.04409028054839424,2.3939812967737173,0.84,0.9400000000000001,1.063356865912706,0.9993158785987964,-0.02845300787266003,0.761866363588266,0.08668620562337567,0.5829446015783077,0.017309733270815426,0.033223522328638566
2,0,0.036,-0,0.036,0.8500000000000001,0.9249132944776353,TRUE,OK,0.04409028054839424,2.3939812967737173,0.84,0.94,1.063356865912706,0.9993158785987964,-0.02978344889813677,0.7846232021982273,0.09272331040267034,0.6184984921181286,0.01836518718847669,0.038984040479776105
2,0,0.036,-0,0.036,0.9,0.978068394403103,TRUE,OK,0.04409028054839424,2.3939812967737173,0.84,0.94,1.063356865912706,0.9993158785987964,-0.029786355449173324,0.8067270551859348,0.09876041518196502,0.6540523826579493,0.019420641106137945,0.045173843755914586
2,0,0.039,-0,0.039,0.5,0.5530066795590707,TRUE,OK,0.04409028054839424,2.3939812967737173,0.84,0.9400000000000001,1.1989315184218885,0.999652557571053,0.002832850649231028,0.606771807101914,0.02415820051534729,0.368011077617292,0.010980565688934268,-0.002090080283986693
2,0,0.039,-0,0.039,0.55,0.6061796879405099,TRUE,OK,0.04409028054839424,2.3939812967737173,0.84,0.9399999999999998,1.1989315184218885,0.999652557571053,0.0011336295767244292,0.6351931217391492,0.027564767651415925,0.4034039500849037,0.01203637519900417,-9.166390452504114e-4
2,0,0.039,-0,0.039,0.6,0.6593526963219488,TRUE,OK,0.04409028054839424,2.3939812967737173,0.84,0.9399999999999998,1.1989315184218885,0.999652557571053,-5.662418749117354e-4,0.6623916589969566,0.03097133478748456,0.4387968225525152,0.013092184709074063,4.979385858843392e-4
2,0,0.039,-0,0.039,0.65,0.7125257047033878,TRUE,OK,0.04409028054839424,2.3939812967737173,0.84,0.9399999999999998,1.1989315184218885,0.999652557571053,-0.0022666190965485167,0.6885123560899363,0.0343779019235532,0.47418969502012676,0.014147994219143967,0.0021536526094175536
2,0,0.039,-0,0.039,0.7,0.7656987130848267,TRUE,OK,0.04409028054839424,2.3939812967737173,0.84,0.94,1.1989315184218885,0.999652557571053,-0.00396739739243325,0.7136735781895693,0.03778446905962183,0.5095825674877383,0.01520380372921386,0.004050503025349242
2,0,0.039,-0,0.039,0.75,0.8188717214662657,TRUE,OK,0.04409028054839424,2.3939812967737173,0.84,0.94,1.1989315184218885,0.999652557571053,-0.005668499098355206,0.7379734770968146,0.04119103619569047,0.5449754399553499,0.01625961323928376,0.006188489833679398
2,0,0.039,-0,0.039,0.8,0.8720447298477048,TRUE,OK,0.04409028054839424,2.3939812967737173,0.84,0.94,1.1989315184218885,0.999652557571053,-0.00736986538640097,0.7614945177111779,0.044597603331759106,0.5803683124229615,0.017315422749353652,0.008567613034408023
2,0,0.039,-0,0.039,0.8500000000000001,0.9252177382291439,TRUE,OK,0.04409028054839424,2.3939812967737173,0.84,0.94,1.1989315184218885,0.999652557571053,-0.009071450880785842,0.7843067790124456,0.04800417046782775,0.6157611848905732,0.018371232259423553,0.011187872627535123
2,0,0.039,-0,0.039,0.9,0.9783907466105828,TRUE,OK,0.04409028054839424,2.3939812967737173,0.84,0.94,1.1989315184218885,0.999652557571053,-0.010773220020643154,0.8064704122233892,0.051410737603896375,0.6511540573581848,0.01942704176949345,0.014049268613060679
2,0,0.041999999999999996,-0,0.041999999999999996,0.5,0.5531054148873155,TRUE,OK,0.04409028054839424,2.3939812967737173,0.84,0.9400000000000001,1.351791512279959,0.9998381799881532,0.011077717147190705,0.6063033084455034,0.007710590179568922,0.36706472290628944,0.010982526189227819,-0.008152240541520396
2,0,0.041999999999999996,-0,0.041999999999999996,0.55,0.606288296801579,TRUE,OK,0.04409028054839424,2.3939812967737173,0.84,0.9400000000000001,1.351791512279959,0.9998381799881532,0.010200966460331563,0.6347191459586824,0.009472396282059724,0.4023629599028009,0.012038531749327078,-0.00822719034390524
2,0,0.041999999999999996,-0,0.041999999999999996,0.6,0.6594711787158425,TRUE,OK,0.04409028054839424,2.3939812967737173,0.84,0.94,1.351791512279959,0.9998381799881532,0.009323551014571982,0.6619150006065406,0.011234202384550522,0.43766119689931215,0.013094537309426318,-0.00817776284759483
2,0,0.041999999999999996,-0,0.041999999999999996,0.65,0.712654060630106,TRUE,OK,0.04409028054839424,2.3939812967737173,0.84,0.94,1.351791512279959,0.9998381799881532,0.008445618614783781,0.6880355644729236,0.012996008487041324,0.4729594338958235,0.014150542869525577,-0.008003958052589195
2,0,0.041999999999999996,-0,0.041999999999999996,0.7,0.7658369425443694,TRUE,OK,0.04409028054839424,2.3939812967737173,0.84,0.94,1.351791512279959,0.9998381799881532,0.00756727627079698,0.7131990008567841,0.014757814589532119,0.5082576708923349,0.015206548429624826,-0.007705775958888312
2,0,0.041999999999999996,-0,0.041999999999999996,0.75,0.8190198244586329,TRUE,OK,0.04409028054839424,2.3939812967737173,0.84,0.94,1.351791512279959,0.9998381799881532,0.006688603363672885,0.7375032925450367,0.01651962069202292,0.543555907888846,0.016262553989724083,-0.007283216566492197
2,0,0.041999999999999996,-0,0.041999999999999996,0.8,0.8722027063728964,TRUE,OK,0.04409028054839424,2.3939812967737173,0.84,0.94,1.351791512279959,0.9998381799881532,0.005809660021942387,0.7610307609307614,0.018281426794513722,0.5788541448853574,0.017318559549823337,-0.006736279875400836
2,0,0.041999999999999996,-0,0.041999999999999996,0.8500000000000001,0.9253855882871599,TRUE,OK,0.04409028054839424,2.3939812967737173,0.84,0.94,1.351791512279959,0.9998381799881532,0.0049304926247074055,0.7838513616613699,0.02004323289700452,0.6141523818818686,0.018374565109922587,-0.006064965885614235
