sigma,psi,phi2,hopf_rF
2,0.36,0.8500000000000001,0.06377859118713756
2,0.36,0.9,0.0642048447498719
2,0.38,0.5,0.06177583878607103
2,0.38,0.55,0.06250139402599769
2,0.38,0.6,0.06314255990543827
2,0.38,0.65,0.0638312231194257
2,0.38,0.7,0.06442140064666907
2,0.38,0.75,0.06493280877710685
2,0.38,0.8,0.06538023034442704
2,0.38,0.8500000000000001,0.0657749669293273
2,0.38,0.9,0.06617540621579927
2,0.4,0.5,0.0638066552812894
2,0.4,0.55,0.06462522655738724
2,0.4,0.6,0.0653071872241909
2,0.4,0.65,0.06588410048170436
2,0.4,0.7,0.06650970590788231
2,0.4,0.75,0.06708662822977253
2,0.4,0.8,0.06759136900453738
2,0.4,0.8500000000000001,0.06803667691368129
2,0.4,0.9,0.06843246538699922
