sigma,psi,rF,rF_tilde,rF_eff,phi2,phi1,feasible,reason,r_star,d_star,omega_star,e_star,f_star,Z_star,maxReEig,maxImEig,a1,a2,a3,H,stable,oscillatory,rh_ok,period,econ_ok,regime,score
2,0.24,0.048,-0.011519999999999999,0.03648,0.9,0.9781325031152749,TRUE,OK,0.04409028054839424,2.3939812967737173,0.84,0.94,1.083970576106807,0.9993828365870648,-0.029801846745043457,0.8067229398271137,0.08979497881557547,0.6534896017449301,0.019421914056269033,0.039258170888615815,TRUE,TRUE,TRUE,7.788529366136676,TRUE,stable_oscillatory,0
2,0.36,0.056999999999999995,-0.020519999999999997,0.03648,0.9,0.9781325031152749,TRUE,OK,0.04409028054839424,2.3939812967737173,0.84,0.94,1.083970576106807,0.9993828365870648,-0.029801846745043457,0.8067229398271137,0.08979497881557547,0.6534896017449301,0.019421914056269033,0.039258170888615815,TRUE,TRUE,TRUE,7.788529366136676,TRUE,stable_oscillatory,0
2,0.14,0.041999999999999996,-0.00588,0.03612,0.9,0.978084927260909,TRUE,OK,0.04409028054839424,2.3939812967737173,0.84,0.94,1.0684732483635186,0.9993331462502826,-0.02979034996751988,0.806728006950632,0.09646611310881681,0.6539077858644882,0.019420969384507585,0.04365897304943209,TRUE,TRUE,TRUE,7.788480445757089,TRUE,stable_oscillatory,0
2,0.14,0.041999999999999996,-0.00588,0.03612,0.8500000000000001,0.9249289088433408,TRUE,OK,0.04409028054839424,2.3939812967737173,0.84,0.94,1.0684732483635186,0.9993331462502826,-0.02978743713242385,0.784620007342109,0.09055646955580815,0.6183619284798597,0.01836549722915912,0.03763117592169811,TRUE,TRUE,TRUE,8.007934093426705,TRUE,stable_oscillatory,0
2,0,0.036,-0,0.036,0.9,0.978068394403103,TRUE,OK,0.04409028054839424,2.3939812967737173,0.84,0.94,1.063356865912706,0.9993158785987964,-0.029786355449173324,0.8067270551859348,0.09876041518196502,0.6540523826579493,0.019420641106137945,0.045173843755914586,TRUE,TRUE,TRUE,7.7884896344916,TRUE,stable_oscillatory,0
2,0.2,0.045,-0.009,0.036,0.9,0.978068394403103,TRUE,OK,0.04409028054839424,2.3939812967737173,0.84,0.94,1.063356865912706,0.9993158785987964,-0.029786355449173324,0.8067270551859348,0.09876041518196502,0.6540523826579493,0.019420641106137945,0.045173843755914586,TRUE,TRUE,TRUE,7.7884896344916,TRUE,stable_oscillatory,0
2,0.4,0.06,-0.024,0.036,0.9,0.978068394403103,TRUE,OK,0.04409028054839424,2.3939812967737173,0.84,0.94,1.063356865912706,0.9993158785987964,-0.029786355449173324,0.8067270551859348,0.09876041518196502,0.6540523826579493,0.019420641106137945,0.045173843755914586,TRUE,TRUE,TRUE,7.7884896344916,TRUE,stable_oscillatory,0
2,0,0.036,-0,0.036,0.8500000000000001,0.9249132944776353,TRUE,OK,0.04409028054839424,2.3939812967737173,0.84,0.94,1.063356865912706,0.9993158785987964,-0.02978344889813677,0.7846232021982273,0.09272331040267034,0.6184984921181286,0.01836518718847669,0.038984040479776105,TRUE,TRUE,TRUE,8.007901486441387,TRUE,stable_oscillatory,0
2,0.2,0.045,-0.009,0.036,0.8500000000000001,0.9249132944776353,TRUE,OK,0.04409028054839424,2.3939812967737173,0.84,0.94,1.063356865912706,0.9993158785987964,-0.02978344889813677,0.7846232021982273,0.09272331040267034,0.6184984921181286,0.01836518718847669,0.038984040479776105,TRUE,TRUE,TRUE,8.007901486441387,TRUE,stable_oscillatory,0
2,0.4,0.06,-0.024,0.036,0.8500000000000001,0.9249132944776353,TRUE,OK,0.04409028054839424,2.3939812967737173,0.84,0.94,1.063356865912706,0.9993158785987964,-0.02978344889813677,0.7846232021982273,0.09272331040267034,0.6184984921181286,0.01836518718847669,0.038984040479776105,TRUE,TRUE,TRUE,8.007901486441387,TRUE,stable_oscillatory,0
2,0.08,0.039,-0.00312,0.03588,0.9,0.9780515159935314,TRUE,OK,0.04409028054839424,2.3939812967737173,0.84,0.94,1.0582649832511242,0.9992982500376882,-0.029782277805969697,0.8067246735242504,0.1010904339890531,0.6541996314746428,0.019420305966451792,0.04671301869479845,TRUE,TRUE,TRUE,7.7885126281447645,TRUE,stable_oscillatory,0
2,0.08,0.039,-0.00312,0.03588,0.8500000000000001,0.9248973537574842,TRUE,OK,0.04409028054839424,2.3939812967737173,0.84,0.94,1.0582649832511242,0.9992982500376882,-0.02977937767107687,0.7846251626917531,0.09492388372047575,0.6186375604450057,0.018364870667661987,0.040358609185138526,TRUE,TRUE,TRUE,8.007881477601797,TRUE,stable_oscillatory,0
2,0.3,0.051000000000000004,-0.015300000000000001,0.0357,0.9,0.9780255392961654,TRUE,OK,0.04409028054839424,2.3939812967737173,0.84,0.94,1.0506728398858625,0.9992711188204394,-0.029776002842188804,0.8067182701490345,0.10465296887700465,0.6544255441563629,0.01941979017009281,0.04906778593481986,TRUE,TRUE,TRUE,7.788574449936307,TRUE,stable_oscillatory,0
2,0.34,0.054,-0.01836,0.03564,0.9,0.9780167020731606,TRUE,OK,0.04409028054839424,2.3939812967737173,0.84,0.94,1.0481542485886162,0.9992618888319676,-0.029773868314996586,0.8067153456738585,0.10585860297801569,0.6545022075285173,0.019419614697153153,0.04986507463784298,TRUE,TRUE,TRUE,7.7886026847935685,TRUE,stable_oscillatory,0
2,0.3,0.051000000000000004,-0.015300000000000001,0.0357,0.8500000000000001,0.924872820209972,TRUE,OK,0.04409028054839424,2.3939812967737173,0.84,0.94,1.0506728398858625,0.9992711188204394,-0.029773112583385438,0.7846256537359061,0.09828850000354114,0.6188509224221859,0.018364383526656283,0.04246154536402817,TRUE,TRUE,TRUE,8.007876466010144,TRUE,stable_oscillatory,0
2,0.34,0.054,-0.01836,0.03564,0.8500000000000001,0.9248644739438008,TRUE,OK,0.04409028054839424,2.3939812967737173,0.84,0.94,1.0481542485886162,0.9992618888319676,-0.029770981416356996,0.7846251324523784,0.09942715443227376,0.6189233267181096,0.01836421780221328,0.04317356738512483,TRUE,TRUE,TRUE,8.007881786224754,TRUE,stable_oscillatory,0
2,0.3,0.051000000000000004,-0.015300000000000001,0.0357,0.8,0.8717201011237784,TRUE,OK,0.04409028054839424,2.3939812967737173,0.84,0.94,1.0506728398858625,0.9992711188204394,-0.0297698718297856,0.76187938313907,0.09192403113007758,0.583276300688009,0.017308976883219755,0.03630813193866127,TRUE,TRUE,TRUE,8.246955418706587,TRUE,stable_oscillatory,0
2,0.26,0.048,-0.012480000000000002,0.035519999999999996,0.9,0.9779987562675363,TRUE,OK,0.04409028054839424,2.3939812967737173,0.84,0.94,1.0431351636359165,0.9992431454349822,-0.029769534038370814,0.8067082577146273,0.1082972324843563,0.6546575959126182,0.019419258363125406,0.051478347499073186,TRUE,TRUE,TRUE,7.788671117585436,TRUE,stable_oscillatory,0
2,0.34,0.054,-0.01836,0.03564,0.8,0.8717122458144406,TRUE,OK,0.04409028054839424,2.3939812967737173,0.84,0.94,1.0481542485886162,0.9992618888319676,-0.02976774443009293,0.7618811248040908,0.09299570588653183,0.5833444459077018,0.01730882090727339,0.036939707614901125,TRUE,TRUE,TRUE,8.246936566114874,TRUE,stable_oscillatory,0
