time,e,omega,d
0,0.942,0.6482532304803152,0.02633076200788132
0.05,0.9420195985415651,0.6483892157116541,0.026245712327744076
0.1,0.9420369002030825,0.6485266237709204,0.026161635680123824
0.15000000000000002,0.9420518790226052,0.6486652962302939,0.02607852902841452
0.2,0.9420645144548946,0.6488050929755337,0.025996388992529474
0.25,0.942074781704863,0.6489458255597289,0.02591521024150959
0.30000000000000004,0.9420826641726524,0.6490873370026059,0.025834987248673127
0.35000000000000003,0.9420881469429957,0.6492294624488336,0.025755713548081153
0.4,0.9420912179740126,0.6493720359511082,0.02567738187048064
0.45,0.9420918681055812,0.6495148906092137,0.025599984174011114
0.5,0.9420900910887324,0.6496578587788486,0.025523511670734467
0.55,0.9420858836077021,0.6498007722630851,0.02544795485495616
0.6000000000000001,0.9420792452989016,0.6499434625067014,0.025373303532369888
0.65,0.9420701787663776,0.6500857607917527,0.02529954684996803
0.7000000000000001,0.9420586895936993,0.650227498434199,0.02522667332658458
0.75,0.9420447863522085,0.6503685069813666,0.025154670883939766
0.8,0.9420284806055642,0.6505086184100356,0.025083526878055266
0.8500000000000001,0.9420097869105296,0.6506476653249378,0.025013228130909664
0.9,0.9419887228139432,0.6507854811574559,0.024943760962205224
0.9500000000000001,0.9419653088458297,0.6509219003643179,0.0248751112211189
1,0.9419395685086068,0.6510567586260771,0.024807264317913105
1.05,0.9419115282623501,0.6511898930451827,0.024740205255284926
1.1,0.9418812175060867,0.6513211423434324,0.024673918659336182
1.1500000000000001,0.9418486685550911,0.6514503470586219,0.024608388810051007
1.2000000000000002,0.9418139166141635,0.65157734974019,0.024543599671172495
1.25,0.9417769997468779,0.6517019951436773,0.02447953491937525
1.3,0.9417379588407934,0.6518241304238079,0.02441617797263654
1.35,0.9416968375686251,0.6519436053260124,0.024353512017715042
1.4000000000000001,0.9416536823453856,0.6520602723762129,0.024291520036652765
1.4500000000000002,0.9416085422815026,0.6521739870686868,0.024230184832223087
1.5,0.9415614691319365,0.652284608051833,0.024169489052255005
1.55,0.9415125172413211,0.65239199731166,0.024109415212771716
1.6,0.94146174348516,0.6524960203528163,0.024049945719889523
1.6500000000000001,0.9414092072071163,0.6525965463769794,0.023991062890431545
1.7000000000000002,0.941354970152446,0.6526934484584191,0.023932748971219005
1.75,0.9412990963976211,0.6527866037165433,0.023874986157011727
1.8,0.9412416521376815,0.6528758932161515,0.023817756608801095
1.85,0.9411827060641467,0.6529612029796186,0.023761042461660862
1.9000000000000001,0.9411223287703387,0.653042423240348,0.023704825848760932
1.9500000000000002,0.9410605928651086,0.6531194489294652,0.023649088908710005
2,0.9409975728968533,0.6531921798605497,0.023593813796987103
2.0500000000000003,0.940933345294416,0.6532605209981557,0.023538982696940377
2.1,0.9408679881489515,0.6533243822477854,0.02348457782593281
2.15,0.9408015811929463,0.6533836788038238,0.02343058144339004
2.2,0.940734205724379,0.6534383313545586,0.023376975857231364
2.25,0.9406659443900444,0.6534882657948213,0.023323743424677162
2.3000000000000003,0.9405968813695106,0.6535334144673058,0.02327086656664404
2.35,0.940527101930851,0.6535737150659641,0.02321832776051032
2.4000000000000004,0.9404566924526878,0.6536091111954486,0.023166109544341937
2.45,0.9403857403169433,0.6536395525139728,0.023114194518769577
2.5,0.9403143338031502,0.6536649949701285,0.02306256534859349
2.5500000000000003,0.9402425619149534,0.6536854004636369,0.023011204757950078
2.6,0.9401705142978345,0.6537007371832378,0.022960095531247705
2.6500000000000004,0.940098281129865,0.6537109797667511,0.02290922051264216
2.7,0.9400259529645812,0.6537161088821498,0.022858562599376537
2.75,0.9399536206890176,0.6537161125802384,0.02280810475117213
2.8000000000000003,0.9398813752920502,0.6537109849233285,0.022757829976940563
2.85,0.9398093077883918,0.6537007265553686,0.022707721335334337
2.9000000000000004,0.9397375090925865,0.6536853447735117,0.02265776193347966
2.95,0.9396660698787452,0.6536648536923495,0.022607934926026797
3,0.9395950804764228,0.6536392737916524,0.022558223510384147
3.0500000000000003,0.939524630736135,0.6536086321929676,0.022508610926699545
3.1,0.939454809900591,0.6535729627405429,0.022459080457992272
3.1500000000000004,0.9393857065309523,0.6535323054773539,0.022409615426509273
3.2,0.9393174082377844,0.6534867079440773,0.022360199202945307
3.25,0.9392500017014723,0.6534362236621097,0.02231081520060964
3.3000000000000003,0.9391835725066653,0.6533809126355064,0.02226144687942623
3.35,0.9391182050154216,0.653320841325839,0.022212077750208576
3.4000000000000004,0.9390539822121482,0.653256082706033,0.022162691381071634
3.45,0.9389909856866714,0.6531867157352547,0.022113271399214058
3.5,0.9389292954663636,0.6531128255252032,0.022063801499749167
3.5500000000000003,0.9388689898868449,0.6530345033183049,0.022014265455015343
3.6,0.9388101456156098,0.6529518459137775,0.02196464711787378
3.6500000000000004,0.9387528371898347,0.6528649567318849,0.0219149304500622
3.7,0.9386971372936805,0.6527739443389364,0.021865099518201994
3.75,0.9386431165259143,0.6526789228079333,0.02181513851273146
3.8000000000000003,0.9385908432914806,0.6525800115935902,0.021765031764198875
3.85,0.9385403837213799,0.6524773353257058,0.021714763759859725
3.9000000000000004,0.9384918015857784,0.6523710236314574,0.021664319161959406
3.95,0.9384451582107481,0.6522612109502495,0.021613682827504546
4,0.9384005123991322,0.6521480363409545,0.02156283982941103
4.05,0.9383579203556511,0.6520316432819196,0.02151177547898276
4.1000000000000005,0.9383174356163422,0.6519121794642906,0.021460475349669415
4.15,0.9382791089824193,0.6517897965791678,0.021408925302038567
4.2,0.9382429884586287,0.6516646500991249,0.021357111509888067
4.25,0.9382091191961626,0.65153689905463,0.02130502048741536
4.3,0.9381775434401776,0.651406705805912,0.021252639117351525
4.3500000000000005,0.9381483004834192,0.6512742358184581,0.02119995467901818
4.4,0.9381214266186173,0.6511396574059368,0.021146954880779178
4.45,0.9380969551036922,0.6510031415080065,0.02109362788830296
4.5,0.9380749161283783,0.6508648614525097,0.02103996235514477
4.55,0.9380553367834001,0.6507249927052062,0.020985947454992382
4.6000000000000005,0.9380382410363036,0.6505837126270599,0.020931572913011624
4.65,0.938023649711501,0.6504412002276109,0.020876829037724295
4.7,0.9380115804747537,0.6502976359206191,0.02082170675250035
4.75,0.9380020478229681,0.6501532012855618,0.02076619762615441
4.800000000000001,0.9379950630767582,0.6500080788130386,0.02071029390538189
4.8500000000000005,0.9379906343786492,0.6498624516636395,0.02065398854505681
4.9,0.9379887666950802,0.649716503433508,0.020597275237307516
4.95,0.9379894618229265,0.6495704178908702,0.020540148443630595
5,0.9379927184000622,0.649424378754403,0.02048260342106789
5.050000000000001,0.9379985319195868,0.6492785694597634,0.02042463624920985
5.1000000000000005,0.9380068947481199,0.6491331729177859,0.020366243857359884
5.15,0.9380177961479543,0.6489883712851897,0.02030742404910923
5.2,0.9380312223030934,0.6488443457356171,0.02024817552576573
5.25,0.9380471563483246,0.6487012762363957,0.020188497908023843
5.300000000000001,0.93806557840139,0.6485593413347708,0.02012839175521894
5.3500000000000005,0.9380864655999942,0.6484187179324464,0.020067858584403006
5.4,0.9381097921409154,0.6482795810761751,0.020006900886155015
5.45,0.9381355293223848,0.6481421037502907,0.019945522138576335
5.5,0.9381636455894893,0.6480064566734076,0.01988372681913648
5.550000000000001,0.9381941065824324,0.6478728080997754,0.019821520414235568
5.6000000000000005,0.9382268751875324,0.6477413236254463,0.01975890942639941
5.65,0.9382619115908433,0.6476121659993757,0.019695901379030854
5.7,0.9382991733323931,0.6474854949454573,0.019632504818614057
5.75,0.9383386153698854,0.6473614669668084,0.01956872931458692
5.800000000000001,0.9383801901357017,0.6472402351857048,0.01950458545615449
