time,e,omega,d
611.7,2.454940354246577e-12,8.001155900595198e-45,30536577714.352524
611.75,2.438791099072393e-12,7.78801504103185e-45,30677369544.73646
611.8000000000001,2.422748078024077e-12,7.580551989347269e-45,30818810509.4047
611.85,2.406810592265168e-12,7.378615495789633e-45,30960903601.252686
611.9,2.3909779475562306e-12,7.182058339711329e-45,31103651826.97587
611.95,2.3752494542247213e-12,6.99073722224006e-45,31247058207.13235
612,2.3596244271350555e-12,6.804512661808857e-45,31391125776.20584
612.0500000000001,2.344102185658511e-12,6.623248892464835e-45,31535857582.67213
612.1,2.3286820536438656e-12,6.446813764893192e-45,31681256689.06098
612.15,2.3133633593876955e-12,6.275078650071579e-45,31827326172.023247
612.2,2.2981454356052213e-12,6.107918345495139e-45,31974069122.394962
612.25,2.2830276194013464e-12,5.945210983899428e-45,32121488645.261772
612.3000000000001,2.2680092522415376e-12,5.786837944411147e-45,32269587860.026947
612.35,2.253089679923415e-12,5.63268376607123e-45,32418369900.474728
612.4,2.238268252548015e-12,5.482636063656146e-45,32567837914.838974
612.45,2.223544324491584e-12,5.3365854457452214e-45,32717995065.86879
612.5,2.208917254377555e-12,5.194425434970396e-45,32868844530.89441
612.5500000000001,2.194386405048375e-12,5.05605239038721e-45,33020389501.896835
612.6,2.179951143538014e-12,4.921365431918549e-45,33172633185.572605
612.65,2.165610841044166e-12,4.790266366806376e-45,33325578803.404102
612.7,2.1513648729009543e-12,4.6626596180258456e-45,33479229591.72665
612.75,2.137212618551819e-12,4.53845215460625e-45,33633588801.795963
612.8000000000001,2.1231534615222583e-12,4.417553423805312e-45,33788659699.859394
612.85,2.1091867893932326e-12,4.299875285094483e-45,33944445567.222225
612.9,2.095311993774264e-12,4.185331945898656e-45,34100949700.31957
612.95,2.0815284702770296e-12,4.07383989905043e-45,34258175410.785088
613,2.0678356184891294e-12,3.9653178619104186e-45,34416126025.51996
613.0500000000001,2.0542328419477124e-12,3.859686717106847e-45,34574804886.76581
613.1,2.040719548113743e-12,3.756869454857458e-45,34734215352.17252
613.15,2.0272951483459737e-12,3.6567911168242767e-45,34894360794.87189
613.2,2.0139590578753983e-12,3.559378741466403e-45,35055244603.54779
613.25,2.0007106957798674e-12,3.464561310848463e-45,35216870182.5069
613.3000000000001,1.9875494849585732e-12,3.372269698863845e-45,35379240951.75323
613.35,1.974474852107151e-12,3.282436620840436e-45,35542360347.05757
613.4,1.961486227692496e-12,3.1949965844856324e-45,35706231820.03281
613.45,1.9485830459280466e-12,3.1098858421402106e-45,35870858838.20577
613.5,1.935764744749223e-12,3.0270423443040175e-45,36036244885.08957
613.5500000000001,1.9230307657887402e-12,2.946405694397794e-45,36202393460.25989
613.6,1.9103805543525195e-12,2.8679171047329024e-45,36369308079.426
613.65,1.8978135593953218e-12,2.7915193536512022e-45,36536992274.50787
613.7,1.8853292334968303e-12,2.7171567438084964e-45,36705449593.7097
613.75,1.8729270328378926e-12,2.6447750615691895e-45,36874683601.59389
613.8000000000001,1.86060641717663e-12,2.574321537480971e-45,37044697879.15911
613.85,1.8483668498251324e-12,2.5057448078048677e-45,37215496023.91307
613.9,1.8362077976258824e-12,2.438994877067668e-45,37387081649.95125
613.95,1.824128730928616e-12,2.3740230816135087e-45,37559458388.0323
614,1.8121291235673335e-12,2.3107820541263394e-45,37732629885.65366
614.0500000000001,1.8002084528371855e-12,2.2492256890960262e-45,37906599807.131454
614.1,1.7883661994719248e-12,2.189309109206543e-45,38081371833.67491
614.15,1.7766018476210946e-12,2.1309886326174335e-45,38256949663.46705
614.2,1.7649148848276418e-12,2.0742217411182495e-45,38433337011.74169
614.25,1.7533048020056724e-12,2.0189670491312627e-45,38610537610.8609
614.3000000000001,1.74177109341809e-12,1.965184273538653e-45,38788555210.39678
614.35,1.730313256654777e-12,1.9128342043153352e-45,38967393577.207565
614.4000000000001,1.7189307926105006e-12,1.861878675942136e-45,39147056495.52059
614.45,1.7076232054633787e-12,1.8122805395823935e-45,39327547767.00908
614.5,1.696390002653101e-12,1.764003635997989e-45,39508871210.87549
614.5500000000001,1.685230694859552e-12,1.7170127691880253e-45,39691030663.93107
614.6,1.6741447959815698e-12,1.6712736807296874e-45,39874029980.67582
614.6500000000001,1.6631318231155968e-12,1.6267530248015958e-45,40057873033.38293
614.7,1.6521912965348429e-12,1.5834183438740583e-45,40242563712.17743
614.75,1.6413227396682156e-12,1.5412380450453766e-45,40428105925.12139
