time,e,omega,d
0,0.942,0.6482532304803152,0.02633076200788132
0.05,0.9420198520467111,0.6483597930948115,0.02624564252892509
0.1,0.9420379177033834,0.6484674272445097,0.026161356995149314
0.15000000000000002,0.9420541774216437,0.6485760391049209,0.026077903572015552
0.2,0.9420686153816316,0.6486855457190397,0.025995280222741064
0.25,0.9420812120263272,0.6487958355234542,0.025913483736934213
0.30000000000000004,0.9420919535170196,0.6489068155789589,0.025832510785206125
0.35000000000000003,0.9421008268333214,0.6490183882353698,0.025752357466170144
0.4,0.9421078206504705,0.6491304551191943,0.02567301938464143
0.45,0.9421129253449317,0.6492429171982296,0.025594491665765867
0.5,0.9421161330122311,0.6493556748768653,0.025516768966747365
0.55,0.9421174374811294,0.6494686280838174,0.025439845489530676
0.6000000000000001,0.9421168343264421,0.6495816763613786,0.025363714993954428
0.65,0.9421143208802859,0.6496947189554839,0.02528837081136563
0.7000000000000001,0.9421098962417259,0.649807654906525,0.025213805858648932
0.75,0.942103561284791,0.649920383140837,0.025140012652624243
0.8,0.9420953186648272,0.6500328025627768,0.0250669833247659
0.8500000000000001,0.9420851728231614,0.6501448121473141,0.0249947096361962
0.9,0.9420731299900487,0.6502563110330517,0.02492318299290605
0.9500000000000001,0.9420591981858778,0.6503671986155933,0.024852394461155437
1,0.9420433872206136,0.6504773746411712,0.024782334783006663
1.05,0.942025708691453,0.6505867393004496,0.024712994391943778
1.1,0.942006175978676,0.6506951933224141,0.024644363428531945
1.1500000000000001,0.9419848042396779,0.6508026380682578,0.024576431756071476
1.2000000000000002,0.941961610401163,0.6509089756251761,0.024509188976201936
1.25,0.9419366131494915,0.6510141088999759,0.024442624444412833
1.3,0.9419098329191676,0.6511179417124081,0.02437672728541864
1.35,0.9418812918794621,0.6512203788881304,0.02431148640835725
1.4000000000000001,0.9418510139191631,0.6513213263512053,0.024246890521772327
1.4500000000000002,0.9418190246294554,0.6514206912160395,0.024182928148341887
1.5,0.9417853512849241,0.6515183818786674,0.02411958763931704
1.55,0.9417500228226899,0.6516143081072845,0.02405685718863679
1.6,0.9417130698196792,0.6517083811319341,0.02399472484668687
1.6500000000000001,0.9416745244680368,0.6518005137332478,0.023933178533672668
