regime,n,r_star_min,r_star_med,r_star_max,d_star_min,d_star_med,d_star_max,omega_star_min,omega_star_med,omega_star_max,e_star_min,e_star_med,e_star_max,f_star_min,f_star_med,f_star_max,maxReEig_min,maxReEig_med,maxReEig_max,maxImEig_min,maxImEig_med,maxImEig_max,H_min,H_med,H_max,period_min,period_med,period_max
infeasible,44100,Inf,NA,-Inf,Inf,NA,-Inf,Inf,NA,-Inf,Inf,NA,-Inf,Inf,NA,-Inf,Inf,NA,-Inf,Inf,NA,-Inf,Inf,NA,-Inf,Inf,NA,-Inf
stable_oscillatory,11473,0.04409028054839424,0.05590971945160577,0.07554128118829954,0.48302787126754954,2.0075233790328535,2.3939812967737173,0.74,0.8,0.84,0.02025978433964122,0.31712494375212874,1.5199367947008158,0.12268080822810142,0.4235115992546672,3.5318812052985775,-0.0299143565782593,-0.02285281688749789,-9.814111584498936e-6,0.00440419975513453,0.32679883125863385,1.0358716065445674,1.0071624696901799e-7,0.03165826810485138,2.886254741241572,6.065602404277559,19.226461988803663,1426.6349522077164
stable_real,12516,0.04409028054839424,0.06198932700654716,0.07554128118829954,0.48302787126754954,1.6509783577331767,2.3939812967737173,0.74,0.78,0.84,0.02414023883032141,0.4559313662126807,1.5095131231178671,0.1536866850249911,0.3738845433853807,2.464109903432037,-0.02867684604006258,-0.007997160641207944,-0.0020997733402533,0,0,0,0.00379449027547045,1.940962010046807,54.66990060526722,Inf,NA,-Inf
unstable_oscillatory,13811,0.04409028054839424,0.05590971945160577,0.07554128118829954,0.48302787126754954,2.0075233790328535,2.3939812967737173,0.74,0.8,0.84,0.02009374056475398,0.7200000000000001,1.52,0.12268080822810142,7.549118178094214,614.8822332602474,7.437043951535882e-6,0.01096583026432654,0.01993700740530213,0.06338975758456582,0.5360568714970211,1.035486299042856,-0.04271132279696688,-0.00540536476747071,-2.5672160534624244e-7,6.067859432797326,11.721116995726268,99.11988224276504
